target,algorithm,subset,config_json,oof_log_loss,fold_mean,fold_se
monthly,ridge,H_D_P_A,0.1,0.6409247043613758,0.6409247043613758,0.005836549106478893
monthly,ridge,H_D_P_A,1.0,0.6423063147494532,0.6423063147494533,0.009040138426723006
monthly,ridge,H_D_P_A,10.0,0.6455415445897908,0.6455415445897908,0.010145262302368119
monthly,ridge,H_B_P_A,0.001,0.6730004361325994,0.6730004361325994,0.001078112706844025
monthly,ridge,H_B_P_A,0.01,0.6628496533729885,0.6628496533729885,0.004310015281919212
monthly,ridge,H_B_P_A,0.1,0.6625389849670755,0.6625389849670755,0.005948608131638575
monthly,ridge,H_B_P_A,1.0,0.6626468553751539,0.6626468553751537,0.006182053754739514
monthly,ridge,H_B_P_A,10.0,0.6626599629962513,0.6626599629962513,0.006206413471826236
monthly,ridge,H_D_B_P_A,0.001,0.6698101587421728,0.6698101587421726,0.0008780258910282635
monthly,ridge,H_D_B_P_A,0.01,0.6495617106534362,0.6495617106534362,0.003991727033487955
monthly,ridge,H_D_B_P_A,0.1,0.6391106200819383,0.6391106200819382,0.008252017495474141
monthly,ridge,H_D_B_P_A,1.0,0.6411460605490023,0.6411460605490021,0.011563646425065091
monthly,ridge,H_D_B_P_A,10.0,0.6443921103287662,0.6443921103287662,0.012609829882203253
monthly,ridge,H_M_P_A,0.001,0.6751934635065002,0.6751934635065002,0.0010389889304020313
monthly,ridge,H_M_P_A,0.01,0.6666227358849558,0.6666227358849557,0.003931963217870256
monthly,ridge,H_M_P_A,0.1,0.6663952216591236,0.6663952216591235,0.005413707566256438
monthly,ridge,H_M_P_A,1.0,0.6665046733250217,0.6665046733250217,0.005625333693646407
monthly,ridge,H_M_P_A,10.0,0.6665178633966246,0.6665178633966247,0.005647439199521555
monthly,ridge,H_D_M_P_A,0.001,0.6719215271715595,0.6719215271715596,0.0007069964288926902
monthly,ridge,H_D_M_P_A,0.01,0.6527855201746589,0.6527855201746589,0.002719060569218987
monthly,ridge,H_D_M_P_A,0.1,0.6418356261658046,0.6418356261658045,0.005885648197910528
monthly,ridge,H_D_M_P_A,1.0,0.6433733954573418,0.6433733954573418,0.009064233560716334
monthly,ridge,H_D_M_P_A,10.0,0.6466504490907988,0.6466504490907988,0.010203715391615086
monthly,ridge,H_B_M_P_A,0.001,0.6730303219581565,0.6730303219581565,0.0011444567513312206
monthly,ridge,H_B_M_P_A,0.01,0.6633324140295526,0.6633324140295527,0.00439767065414184
monthly,ridge,H_B_M_P_A,0.1,0.6632537561313187,0.6632537561313188,0.006001869612328951
monthly,ridge,H_B_M_P_A,1.0,0.6633936663688559,0.6633936663688559,0.006228928689034339
monthly,ridge,H_B_M_P_A,10.0,0.6634101017133114,0.6634101017133113,0.006252612427339205
monthly,ridge,H_D_B_M_P_A,0.001,0.6698487466818998,0.6698487466818996,0.0009395747862903226
monthly,ridge,H_D_B_M_P_A,0.01,0.6500890066622566,0.6500890066622566,0.0040503999068959165
monthly,ridge,H_D_B_M_P_A,0.1,0.6399839571017887,0.6399839571017887,0.008250602619716215
monthly,ridge,H_D_B_M_P_A,1.0,0.6421186733054982,0.6421186733054982,0.011570367420575689
monthly,ridge,H_D_B_M_P_A,10.0,0.6457518753023352,0.6457518753023354,0.01273627847645584
monthly,ridge,H_C_A,0.001,0.6750605852346667,0.6750605852346666,0.0010184501719681489
monthly,ridge,H_C_A,0.01,0.6658744264149054,0.6658744264149054,0.003988419019022832
monthly,ridge,H_C_A,0.1,0.6659150814913716,0.6659150814913716,0.0059792802059967665
monthly,ridge,H_C_A,1.0,0.6667254460339338,0.6667254460339337,0.006338806807519745
monthly,ridge,H_C_A,10.0,0.6673087263302321,0.667308726330232,0.006264720450425331
monthly,ridge,H_D_C_A,0.001,0.6717798862577001,0.6717798862577002,0.0006964573147820581
monthly,ridge,H_D_C_A,0.01,0.65188995204922,0.6518899520492198,0.00270303067234174
monthly,ridge,H_D_C_A,0.1,0.64091768327278,0.64091768327278,0.005894958245707647
monthly,ridge,H_D_C_A,1.0,0.6426404416220755,0.6426404416220755,0.009234605757855414
monthly,ridge,H_D_C_A,10.0,0.6460010228821721,0.646001022882172,0.010368850262795288
monthly,ridge,H_B_C_A,0.001,0.6728415716402876,0.6728415716402875,0.00107615732122704
monthly,ridge,H_B_C_A,0.01,0.6624587657879033,0.6624587657879033,0.00436897659058583
monthly,ridge,H_B_C_A,0.1,0.6626821737288658,0.6626821737288656,0.006321964648009532
monthly,ridge,H_B_C_A,1.0,0.663577924250261,0.663577924250261,0.0066500642061740715
monthly,ridge,H_B_C_A,10.0,0.6642380095168422,0.6642380095168421,0.006601281704336358
monthly,ridge,H_D_B_C_A,0.001,0.6696539318476211,0.6696539318476212,0.0008724914177555721
monthly,ridge,H_D_B_C_A,0.01,0.6492038890098,0.6492038890097999,0.003993944458162722
monthly,ridge,H_D_B_C_A,0.1,0.6394148533442134,0.6394148533442136,0.0082991975470628
monthly,ridge,H_D_B_C_A,1.0,0.6417970218561599,0.6417970218561599,0.011745178459439733
monthly,ridge,H_D_B_C_A,10.0,0.6452340433442535,0.6452340433442535,0.012726798882717006
monthly,ridge,H_M_C_A,0.001,0.6750499460257497,0.6750499460257496,0.0010487871376345466
monthly,ridge,H_M_C_A,0.01,0.666270890652198,0.6662708906521981,0.004076067398164974
monthly,ridge,H_M_C_A,0.1,0.6665638069760427,0.6665638069760428,0.006053285455120954
monthly,ridge,H_M_C_A,1.0,0.6674284498528004,0.6674284498528004,0.006410091628073405
monthly,ridge,H_M_C_A,10.0,0.6680402547436901,0.6680402547436902,0.006336503925263504
monthly,ridge,H_D_M_C_A,0.001,0.6717796360968321,0.6717796360968321,0.0007148823018881033
monthly,ridge,H_D_M_C_A,0.01,0.6524072721342454,0.6524072721342454,0.002759992804520745
monthly,ridge,H_D_M_C_A,0.1,0.6419380946161629,0.641938094616163,0.0059737088439852
monthly,ridge,H_D_M_C_A,1.0,0.6438887647211105,0.6438887647211105,0.00930746170538233
monthly,ridge,H_D_M_C_A,10.0,0.6473763956780733,0.6473763956780733,0.010477282428065062
monthly,ridge,H_B_M_C_A,0.001,0.6728728991969721,0.6728728991969721,0.00113147766322776
monthly,ridge,H_B_M_C_A,0.01,0.6629421924728911,0.6629421924728912,0.004442845870079019
monthly,ridge,H_B_M_C_A,0.1,0.663415605558917,0.663415605558917,0.0063634695778510735
monthly,ridge,H_B_M_C_A,1.0,0.6643570699447016,0.6643570699447015,0.006699512494105833
monthly,ridge,H_B_M_C_A,10.0,0.6650416195101146,0.6650416195101145,0.006654969895592161
monthly,ridge,H_D_B_M_C_A,0.001,0.6696903694662983,0.6696903694662983,0.0009244231321159202
monthly,ridge,H_D_B_M_C_A,0.01,0.6497704303908651,0.6497704303908651,0.00404064976771944
monthly,ridge,H_D_B_M_C_A,0.1,0.6403965235190248,0.6403965235190248,0.008289433800982465
monthly,ridge,H_D_B_M_C_A,1.0,0.6430131797678539,0.643013179767854,0.01175832219441748
monthly,ridge,H_D_B_M_C_A,10.0,0.6467957713691834,0.6467957713691834,0.012899462986022263
monthly,ridge,H_P_C_A,0.001,0.6751231616947685,0.6751231616947685,0.0010347001362415948
monthly,ridge,H_P_C_A,0.01,0.6661433272576484,0.6661433272576485,0.004061229379071028
monthly,ridge,H_P_C_A,0.1,0.6663458683553525,0.6663458683553524,0.006080051013596688
monthly,ridge,H_P_C_A,1.0,0.6671725254835362,0.6671725254835363,0.00643962908781262
monthly,ridge,H_P_C_A,10.0,0.6677635237224968,0.6677635237224968,0.0063662600808722224
monthly,ridge,H_D_P_C_A,0.001,0.6718539301390568,0.6718539301390567,0.0007042331861695226
monthly,ridge,H_D_P_C_A,0.01,0.6523275602905892,0.6523275602905892,0.0027547305916435154
monthly,ridge,H_D_P_C_A,0.1,0.6415354318003765,0.6415354318003764,0.005854437906241835
monthly,ridge,H_D_P_C_A,1.0,0.6434410586986115,0.6434410586986115,0.009139943784136418
monthly,ridge,H_D_P_C_A,10.0,0.646830971716029,0.646830971716029,0.010338709136159042
monthly,ridge,H_B_P_C_A,0.001,0.6729303136409526,0.6729303136409526,0.001101452791441934
monthly,ridge,H_B_P_C_A,0.01,0.662816118223681,0.6628161182236811,0.004448306520256523
monthly,ridge,H_B_P_C_A,0.1,0.6631871509479949,0.6631871509479949,0.006428952763450632
monthly,ridge,H_B_P_C_A,1.0,0.6641091755735766,0.6641091755735766,0.006768097867687609
monthly,ridge,H_B_P_C_A,10.0,0.6647628502707982,0.6647628502707981,0.0067185973192563685
