policy_id,algorithm,availability,budget,history_available,selected_subset,source_model,chosen_model,chosen_subset,chosen_config,uses_history,selected_additional_items,selected_items,development_oof_log_loss,selected_config_json,blocks_json,domain,n,reference_label,reference_model,self_contrast,family_unique_nonself_contrasts,q_primary_absolute,q_standardized,inference_status,delta_log_loss,benefit_log_loss,bootstrap_se,marginal_delta95_low,marginal_delta95_high,marginal_delta_upper95,marginal_benefit95_low,marginal_benefit95_high,marginal_benefit_lower95,primary_delta_upper95,standardized_delta_upper95,primary_benchmark_or_full_superiority,standardized_benchmark_or_full_superiority,marginal_superiority_unadjusted,critical_primary,critical_standardized,critical_marginal_normal,critical_marginal_bootstrap,mdd80_primary_normal,mdd80_standardized_normal,mdd80_marginal_normal,mdd80_primary_bootstrap_shift,mdd80_standardized_bootstrap_shift,mdd80_marginal_bootstrap_shift
hgb|history_available|budget=08,hgb,history_available,8,True,H_D_B_M_C_A,hgb::H_D_B_M_C_A,hgb::H_D_B_M_C_A,H_D_B_M_C_A,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}",True,8,8,0.6314904390595096,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}","[""H"", ""D"", ""B"", ""M"", ""C"", ""A""]",disjoint,879,full,hgb::H_D_B_M_P_C_A_K,False,28,0.028367832931910263,2.7606178470648786,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.029358507470656714,-0.029358507470656714,0.007911176645928204,0.013872716121248251,0.04450447366733357,0.04250130892271974,-0.04450447366733357,-0.013872716121248251,-0.04250130892271974,0.05772634040256698,0.05119824291068898,False,False,False,0.028367832931910263,0.021839735440032267,0.01301272759950879,0.013142801452063028,0.03502604717966959,0.028497949687791593,0.019670941847268114,0.034593133035172696,0.0280650355432947,0.01936810155532546
hgb|history_available|budget=08,hgb,history_available,8,True,H_D_B_M_C_A,hgb::H_D_B_M_C_A,hgb::H_D_B_M_C_A,H_D_B_M_C_A,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}",True,8,8,0.6314904390595096,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}","[""H"", ""D"", ""B"", ""M"", ""C"", ""A""]",disjoint,879,benchmark,P0,False,28,0.028367832931910263,2.7606178470648786,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.05852416348169198,-0.05852416348169198,0.011289407901410238,0.03579389514389607,0.08000350264432567,0.0761333946987663,-0.08000350264432567,-0.03579389514389607,-0.0761333946987663,0.08689199641360225,0.08968990441712034,False,False,False,0.028367832931910263,0.03116574093542836,0.018569423532769237,0.017609231217074323,0.037869238336202954,0.04066714633972105,0.028070828937061924,0.03768789936366609,0.040485807367184184,0.026929297648830147
hgb|history_available|budget=09,hgb,history_available,9,True,H_D_B_M_C_A,hgb::H_D_B_M_C_A,hgb::H_D_B_M_C_A,H_D_B_M_C_A,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}",True,8,8,0.6314904390595096,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}","[""H"", ""D"", ""B"", ""M"", ""C"", ""A""]",disjoint,879,full,hgb::H_D_B_M_P_C_A_K,False,28,0.028367832931910263,2.7606178470648786,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.029358507470656714,-0.029358507470656714,0.007911176645928204,0.013872716121248251,0.04450447366733357,0.04250130892271974,-0.04450447366733357,-0.013872716121248251,-0.04250130892271974,0.05772634040256698,0.05119824291068898,False,False,False,0.028367832931910263,0.021839735440032267,0.01301272759950879,0.013142801452063028,0.03502604717966959,0.028497949687791593,0.019670941847268114,0.034593133035172696,0.0280650355432947,0.01936810155532546
hgb|history_available|budget=09,hgb,history_available,9,True,H_D_B_M_C_A,hgb::H_D_B_M_C_A,hgb::H_D_B_M_C_A,H_D_B_M_C_A,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}",True,8,8,0.6314904390595096,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}","[""H"", ""D"", ""B"", ""M"", ""C"", ""A""]",disjoint,879,benchmark,P0,False,28,0.028367832931910263,2.7606178470648786,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.05852416348169198,-0.05852416348169198,0.011289407901410238,0.03579389514389607,0.08000350264432567,0.0761333946987663,-0.08000350264432567,-0.03579389514389607,-0.0761333946987663,0.08689199641360225,0.08968990441712034,False,False,False,0.028367832931910263,0.03116574093542836,0.018569423532769237,0.017609231217074323,0.037869238336202954,0.04066714633972105,0.028070828937061924,0.03768789936366609,0.040485807367184184,0.026929297648830147
hgb|history_available|budget=10,hgb,history_available,10,True,H_D_B_M_C_A,hgb::H_D_B_M_C_A,hgb::H_D_B_M_C_A,H_D_B_M_C_A,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}",True,8,8,0.6314904390595096,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}","[""H"", ""D"", ""B"", ""M"", ""C"", ""A""]",disjoint,879,full,hgb::H_D_B_M_P_C_A_K,False,28,0.028367832931910263,2.7606178470648786,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.029358507470656714,-0.029358507470656714,0.007911176645928204,0.013872716121248251,0.04450447366733357,0.04250130892271974,-0.04450447366733357,-0.013872716121248251,-0.04250130892271974,0.05772634040256698,0.05119824291068898,False,False,False,0.028367832931910263,0.021839735440032267,0.01301272759950879,0.013142801452063028,0.03502604717966959,0.028497949687791593,0.019670941847268114,0.034593133035172696,0.0280650355432947,0.01936810155532546
hgb|history_available|budget=10,hgb,history_available,10,True,H_D_B_M_C_A,hgb::H_D_B_M_C_A,hgb::H_D_B_M_C_A,H_D_B_M_C_A,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}",True,8,8,0.6314904390595096,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}","[""H"", ""D"", ""B"", ""M"", ""C"", ""A""]",disjoint,879,benchmark,P0,False,28,0.028367832931910263,2.7606178470648786,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.05852416348169198,-0.05852416348169198,0.011289407901410238,0.03579389514389607,0.08000350264432567,0.0761333946987663,-0.08000350264432567,-0.03579389514389607,-0.0761333946987663,0.08689199641360225,0.08968990441712034,False,False,False,0.028367832931910263,0.03116574093542836,0.018569423532769237,0.017609231217074323,0.037869238336202954,0.04066714633972105,0.028070828937061924,0.03768789936366609,0.040485807367184184,0.026929297648830147
hgb|history_available|budget=11,hgb,history_available,11,True,H_D_B_M_C_A,hgb::H_D_B_M_C_A,hgb::H_D_B_M_C_A,H_D_B_M_C_A,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}",True,8,8,0.6314904390595096,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}","[""H"", ""D"", ""B"", ""M"", ""C"", ""A""]",disjoint,879,full,hgb::H_D_B_M_P_C_A_K,False,28,0.028367832931910263,2.7606178470648786,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.029358507470656714,-0.029358507470656714,0.007911176645928204,0.013872716121248251,0.04450447366733357,0.04250130892271974,-0.04450447366733357,-0.013872716121248251,-0.04250130892271974,0.05772634040256698,0.05119824291068898,False,False,False,0.028367832931910263,0.021839735440032267,0.01301272759950879,0.013142801452063028,0.03502604717966959,0.028497949687791593,0.019670941847268114,0.034593133035172696,0.0280650355432947,0.01936810155532546
hgb|history_available|budget=11,hgb,history_available,11,True,H_D_B_M_C_A,hgb::H_D_B_M_C_A,hgb::H_D_B_M_C_A,H_D_B_M_C_A,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}",True,8,8,0.6314904390595096,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}","[""H"", ""D"", ""B"", ""M"", ""C"", ""A""]",disjoint,879,benchmark,P0,False,28,0.028367832931910263,2.7606178470648786,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.05852416348169198,-0.05852416348169198,0.011289407901410238,0.03579389514389607,0.08000350264432567,0.0761333946987663,-0.08000350264432567,-0.03579389514389607,-0.0761333946987663,0.08689199641360225,0.08968990441712034,False,False,False,0.028367832931910263,0.03116574093542836,0.018569423532769237,0.017609231217074323,0.037869238336202954,0.04066714633972105,0.028070828937061924,0.03768789936366609,0.040485807367184184,0.026929297648830147
hgb|history_available|budget=12,hgb,history_available,12,True,H_D_B_M_C_A,hgb::H_D_B_M_C_A,hgb::H_D_B_M_C_A,H_D_B_M_C_A,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}",True,8,8,0.6314904390595096,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}","[""H"", ""D"", ""B"", ""M"", ""C"", ""A""]",disjoint,879,full,hgb::H_D_B_M_P_C_A_K,False,28,0.028367832931910263,2.7606178470648786,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.029358507470656714,-0.029358507470656714,0.007911176645928204,0.013872716121248251,0.04450447366733357,0.04250130892271974,-0.04450447366733357,-0.013872716121248251,-0.04250130892271974,0.05772634040256698,0.05119824291068898,False,False,False,0.028367832931910263,0.021839735440032267,0.01301272759950879,0.013142801452063028,0.03502604717966959,0.028497949687791593,0.019670941847268114,0.034593133035172696,0.0280650355432947,0.01936810155532546
hgb|history_available|budget=12,hgb,history_available,12,True,H_D_B_M_C_A,hgb::H_D_B_M_C_A,hgb::H_D_B_M_C_A,H_D_B_M_C_A,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}",True,8,8,0.6314904390595096,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}","[""H"", ""D"", ""B"", ""M"", ""C"", ""A""]",disjoint,879,benchmark,P0,False,28,0.028367832931910263,2.7606178470648786,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.05852416348169198,-0.05852416348169198,0.011289407901410238,0.03579389514389607,0.08000350264432567,0.0761333946987663,-0.08000350264432567,-0.03579389514389607,-0.0761333946987663,0.08689199641360225,0.08968990441712034,False,False,False,0.028367832931910263,0.03116574093542836,0.018569423532769237,0.017609231217074323,0.037869238336202954,0.04066714633972105,0.028070828937061924,0.03768789936366609,0.040485807367184184,0.026929297648830147
