algorithm,has_history,block,block_label,reference_model,full_model,phase,domain,n,shapley_log_loss_reduction,paired_percentile95_low,paired_percentile95_high,joint_basic95_low,joint_basic95_high,joint95_sign,bootstrap_se,joint_critical_absolute_log_loss,family_size,bootstrap_reps,development_oof_attribution,evaluation_minus_development_attribution,development_evaluation_point_sign_flip,status,marginal95_low,marginal95_high,marginal_one_sided_lower95,q_primary_absolute,q_standardized,standardized_joint95_low,standardized_joint95_high,critical_primary_positive_direction,critical_standardized_positive_direction,critical_marginal_two_sided_normal,mdd80_primary_positive_direction_normal,mdd80_standardized_positive_direction_normal,mdd80_marginal_two_sided_positive_direction_normal,mdd80_primary_positive_direction_bootstrap_shift,mdd80_standardized_positive_direction_bootstrap_shift,mdd80_marginal_two_sided_positive_direction_bootstrap_shift,precision_status
hgb,False,D,인구통계 정보,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,-0.0292054007694552,-0.0430368195860499,-0.015732609839936,-0.0519409213089056,-0.0064698802300048,negative,0.006993671178695,0.0227355205394504,56,2000,0.0213407156587804,-0.0505461164282356,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.04267819169897444,-0.01537398195286048,-0.0407428317986729,0.022735520539450417,3.2266291057245713,-0.051771383750499625,-0.006639417788410821,0.022735520539450417,0.022565982981044404,0.013707343629958017,0.028621542704067054,0.028452005145661034,0.019593365794574654,0.028208747316106664,0.02803920975770065,0.018946017706175464,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
hgb,False,B,소비서비스 생활 개선 기대,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,0.0043135451590157,-0.0009660555751653,0.0099100222626229,-0.0184219753804346,0.0270490656984661,not_resolved,0.0028253957449131,0.0227355205394504,56,2000,0.0043907374321006,-7.719227308492817e-05,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.00128293194459144,0.009593145893196915,-0.0004662167322232744,0.022735520539450417,3.2266291057245713,-0.004802958986711227,0.013430049304742769,0.022735520539450417,0.009116504145726997,0.0055376739021024135,0.02511343359161585,0.01149441719789243,0.007915586954267848,0.02510656965973382,0.0114875532660104,0.007967526223890613,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
hgb,False,M,온라인 쇼핑몰 개인정보 관리 평가,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,-0.0032103251780062,-0.0051745587139511,-0.0012166406495431,-0.0259458457174567,0.0195251953614441,not_resolved,0.0010013262417112,0.0227355205394504,56,2000,0.0017661253279734,-0.0049764505059797,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.0052040097064693855,-0.0012460916420614695,-0.00487888729864997,0.022735520539450417,3.2266291057245713,-0.006441233573837753,2.058321782518217e-05,0.022735520539450417,0.0032309083958314676,0.001962563370528991,0.02357825796620841,0.004073645822589459,0.0028053007972869827,0.023566799697265876,0.004062187553646925,0.0028249636862785576,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
hgb,False,P,추천서비스 제공자 책무 기대,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,-0.0074364446971091,-0.0151779561812312,-4.375609901158892e-05,-0.0301719652365595,0.0152990758423412,not_resolved,0.0038117320955829,0.0227355205394504,56,2000,0.0104421828862336,-0.0178786275833428,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.014829133295206732,0.0003050667870128955,-0.013374380001222264,0.022735520539450417,3.2266291057245713,-0.019735490419941576,0.0048626010257232545,0.022735520539450417,0.012299045722832415,0.007470857626057942,0.025943555207784397,0.015507080391166394,0.010678892294391921,0.026111794142348033,0.015675319325730033,0.01076896220099519,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
hgb,False,C,개인정보 수집 동의 반응,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,0.0017937707579489,0.0005288988704461,0.0030309157030767,-0.0209417497815014,0.0245292912973993,not_resolved,0.0006461043141416,0.0227355205394504,56,2000,0.0010469671356578,0.0007468036222911,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,0.0005566258128211095,0.0030586426454516716,0.0007373453253886214,0.022735520539450417,3.2266291057245713,-0.0002909682273946391,0.0038785097432925074,0.022735520539450417,0.0020847389853435733,0.0012663411859735346,0.02327929564933507,0.0026285140952282274,0.0018101162958581891,0.02327685144842977,0.0026260698943229278,0.0017784758541071791,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
hgb,False,A,생성형 AI 이용 경험,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,-0.0130008459896096,-0.0203899289137412,-0.0061655400786598,-0.03573636652906,0.0097346745498407,not_resolved,0.0036375652109208,0.0227355205394504,56,2000,0.0036513609004473,-0.016652206890057,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.019836151900559554,-0.0056117630654781495,-0.01868746053725811,0.022735520539450417,3.2266291057245713,-0.024737919773138092,-0.0012637722060812664,0.022735520539450417,0.011737073783528413,0.007129496804820747,0.025796972659467555,0.01479852590354555,0.010190948924837887,0.02585026781718988,0.014851821061267877,0.009950053188689335,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
hgb,False,K,공통 디지털 역량 11문항,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,0.019583946984854,0.012798936959988,0.026650039775388,-0.0031515735545964,0.0423194675243044,not_resolved,0.0035705192997412,0.0227355205394504,56,2000,0.0083840744236326,0.0111998725612213,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,0.012517854194320003,0.026368957009719977,0.013692471946785694,0.022735520539450417,3.2266291057245713,0.008063205489757516,0.03110468847995051,0.022735520539450417,0.011520741495096496,0.006998089233598063,0.025740545396994562,0.01452576635264064,0.010003114091142209,0.025530664750655453,0.014315885706301532,0.009861237001739045,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
ridge,True,D,인구통계 정보,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.0560092624640095,-0.0782564332982169,-0.034784636208634,-0.0787447830034599,-0.033273741924559,negative,0.0110326691625631,0.0227355205394504,56,2000,0.0176071944408208,-0.0736164569048303,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.07723388871938493,-0.03376209162980206,-0.07379938848027921,0.022735520539450417,3.2266291057245713,-0.0916075938977657,-0.020410931030253307,0.022735520539450417,0.035598331433756195,0.021623634211969455,0.03202084916964867,0.04488366006395444,0.030908962842167705,0.032039414771535754,0.04490222566584153,0.030528520487460756,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
ridge,True,B,소비서비스 생활 개선 기대,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.0036798432591912,-0.0016674543541319,0.0091380700080254,-0.0190556772802591,0.0264153637986416,not_resolved,0.0027497933601102,0.0227355205394504,56,2000,0.0029248912157428,0.0007549520434484,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.0017783834896429335,0.00902714087251448,-0.0007701332959604767,0.022735520539450417,3.2266291057245713,-0.005192720031268589,0.012552406549651143,0.022735520539450417,0.008872563290459866,0.0053894959507434495,0.025049805019257007,0.011186847770266455,0.007703780430550038,0.02506445695227562,0.011201499703285066,0.00778716316165941,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
ridge,True,M,온라인 쇼핑몰 개인정보 관리 평가,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.0039618271848433,-0.0052214423598045,-0.002795384014703,-0.0266973477242937,0.0187736933546071,not_resolved,0.000623809035426,0.0227355205394504,56,2000,3.79418105763098e-05,-0.0039997689954196,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.0051282703549836335,-0.002702212009882128,-0.0049613262728636,0.022735520539450417,3.2266291057245713,-0.005974627574962985,-0.0019490267947236497,0.022735520539450417,0.0020128003901196674,0.0012226432426657313,0.02326053146935962,0.0025378113200288702,0.0017476541725749343,0.02326686610908272,0.00254414595975197,0.0016977887397726188,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
