algorithm,has_history,block,block_label,reference_model,full_model,phase,domain,n,shapley_log_loss_reduction,paired_percentile95_low,paired_percentile95_high,joint_basic95_low,joint_basic95_high,joint95_sign,bootstrap_se,joint_critical_absolute_log_loss,family_size,bootstrap_reps,development_oof_attribution,evaluation_minus_development_attribution,development_evaluation_point_sign_flip,status
hgb,False,C,개인정보 수집 동의 반응,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,0.0017937707579489342,0.0005288988704461961,0.0030309157030767573,-0.020941749781501484,0.02452929129739935,not_resolved,0.0006461043141416232,0.022735520539450417,56,2000,0.001046967135657807,0.0007468036222911271,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,False,A,생성형 AI 이용 경험,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,-0.01300084598960968,-0.020389928913741213,-0.006165540078659811,-0.03573636652906009,0.009734674549840738,not_resolved,0.003637565210920868,0.022735520539450417,56,2000,0.003651360900447341,-0.01665220689005702,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
hgb,False,K,공통 디지털 역량 11문항,hgb::NONE,hgb::D_B_M_P_C_A_K,evaluation,whole,1520,0.019583946984854012,0.012798936959988048,0.02665003977538801,-0.003151573554596405,0.04231946752430443,not_resolved,0.003570519299741272,0.022735520539450417,56,2000,0.008384074423632648,0.011199872561221364,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,True,D,인구통계 정보,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.0560092624640095,-0.07825643329821695,-0.03478463620863409,-0.07874478300345991,-0.033273741924559085,negative,0.011032669162563147,0.022735520539450417,56,2000,0.01760719444082086,-0.07361645690483036,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,True,B,소비서비스 생활 개선 기대,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.0036798432591912773,-0.0016674543541319255,0.009138070008025485,-0.01905567728025914,0.026415363798641695,not_resolved,0.0027497933601102393,0.022735520539450417,56,2000,0.0029248912157428322,0.0007549520434484451,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,True,M,온라인 쇼핑몰 개인정보 관리 평가,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.003961827184843317,-0.005221442359804507,-0.002795384014703002,-0.026697347724293732,0.0187736933546071,not_resolved,0.0006238090354260511,0.022735520539450417,56,2000,3.7941810576309796e-05,-0.003999768995419627,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,True,P,추천서비스 제공자 책무 기대,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.0025612892398479076,-0.005127387669422276,9.846748409011442e-05,-0.025296809779298324,0.02017423129960251,not_resolved,0.0013395675858136268,0.022735520539450417,56,2000,0.00012553837908756767,-0.002686827618935475,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,True,C,개인정보 수집 동의 반응,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.0006307035400037108,-0.0006838865751691827,0.001852806704512793,-0.022104816999446705,0.02336622407945413,not_resolved,0.0006356831961353876,0.022735520539450417,56,2000,-0.000933852784002543,0.0015645563240062538,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,True,A,생성형 AI 이용 경험,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.019142458612175926,-0.027766779560603982,-0.011445618237317585,-0.041877979151626346,0.0035930619272744914,not_resolved,0.004231999974294125,0.022735520539450417,56,2000,0.0019615370498411327,-0.02110399566201706,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,True,K,공통 디지털 역량 11문항,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.014779486873252503,0.004784098672732227,0.024880809692241445,-0.007956033666197914,0.037515007412702917,not_resolved,0.005039169144488346,0.022735520539450417,56,2000,0.009635884210776852,0.005143602662475651,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
