algorithm,has_history,block,block_label,reference_model,full_model,phase,domain,n,shapley_log_loss_reduction,paired_percentile95_low,paired_percentile95_high,joint_basic95_low,joint_basic95_high,joint95_sign,bootstrap_se,joint_critical_absolute_log_loss,family_size,bootstrap_reps,development_oof_attribution,evaluation_minus_development_attribution,development_evaluation_point_sign_flip,status,standardized_joint95_low,standardized_joint95_high,standardized_critical_value,standardized_joint95_sign,sign_conclusion_changed,sensitivity_status
ridge,False,B,소비서비스 생활 개선 기대,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.0062775731382622,-0.0009843333341558,0.0135423027511724,-0.0164579474011882,0.0290130936777126,not_resolved,0.0036561193889673,0.0227355205394504,56,2000,0.0052945047892244,0.0009830683490377,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.005519368096183681,0.01807451437270808,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
ridge,False,M,온라인 쇼핑몰 개인정보 관리 평가,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.0009523669965247,0.0005961907877591,0.001315471307707,-0.0217831535429257,0.0236878875359751,not_resolved,0.0001801901851164,0.0227355205394504,56,2000,-0.0001595074035241,0.0011118744000488,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,0.00037096010066203485,0.0015337738923873775,3.2266291057245713,positive,True,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
ridge,False,P,추천서비스 제공자 책무 기대,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.0037148633163835,-0.006272111224012,-0.0010045338348799,-0.0264503838558339,0.0190206572230668,not_resolved,0.0013511011746822,0.0227355205394504,56,2000,0.0002054202773029,-0.0039202835936864,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.008074365691391855,0.0006446390586247255,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
ridge,False,C,개인정보 수집 동의 반응,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.0008175918587945,-0.000967116232287,0.0024883851645529,-0.0219179286806558,0.023553112398245,not_resolved,0.0009020383248926,0.0227355205394504,56,2000,-0.000544493225276,0.0013620850840706,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.0020929512547831954,0.0037281349723723685,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
ridge,False,A,생성형 AI 이용 경험,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.0196473755849648,-0.0301863151759735,-0.0099724853036317,-0.0423828961244152,0.0030881449544855,not_resolved,0.0052881628261141,0.0227355205394504,56,2000,0.0040356563169244,-0.0236830319018892,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.036710315675515304,-0.0025844354944143354,3.2266291057245713,negative,True,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
ridge,False,K,공통 디지털 역량 11문항,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.0129966318003953,0.0025758245092246,0.0239128065717561,-0.0097388887390551,0.0357321523398457,not_resolved,0.0053683657633189,0.0227355205394504,56,2000,0.0118959642872297,0.0011006675131655,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.00432509342170498,0.030318357022495614,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
hgb,True,D,인구통계 정보,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.0189398184421112,-0.031995926155191,-0.0049201410483585,-0.0416753389815616,0.0037957020973391,not_resolved,0.007004647909843,0.0227355205394504,56,2000,0.0185567709662965,-0.0374965894084077,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.041541219263363564,0.0036615823791410276,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
hgb,True,B,소비서비스 생활 개선 기대,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,0.0084325387188853,0.0028258771416242,0.0141227863606872,-0.0143029818205651,0.0311680592583357,not_resolved,0.0028641542833257,0.0227355205394504,56,2000,0.0020421720139784,0.0063903667049068,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.0008090248549792577,0.017674102292749877,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
hgb,True,M,온라인 쇼핑몰 개인정보 관리 평가,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.011562224332284,-0.0169165604640975,-0.0062997885647742,-0.0342977448717344,0.0111732962071663,not_resolved,0.0027317076635828,0.0227355205394504,56,2000,0.0029303020378706,-0.0144925263701546,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.02037643178793126,-0.002748016876636849,3.2266291057245713,negative,True,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
hgb,True,P,추천서비스 제공자 책무 기대,hgb::H,hgb::H_D_B_M_P_C_A_K,evaluation,person_disjoint,879,-0.0042395200274095,-0.0128507453103787,0.0040646067537454,-0.02697504056686,0.0184960005120408,not_resolved,0.0043675913557072,0.0227355205394504,56,2000,0.0075572375415563,-0.0117967575689659,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.018332117417645583,0.009853077362826406,3.2266291057245713,not_resolved,False,"post-primary retrospective fixed-bootstrap-SE maximum-statistic sensitivity, not bootstrap-t"
