target,algorithm,subset,config_json,oof_log_loss,fold_mean,fold_se
regular,ridge,H_B_P_A,0.01,0.4751832260270741,0.47518322602707413,0.00420961570657756
regular,ridge,H_B_P_A,0.1,0.4751660379287515,0.47516603792875156,0.005930445851112964
regular,ridge,H_B_P_A,1.0,0.4754006014050818,0.4754006014050819,0.006211454659249535
regular,ridge,H_B_P_A,10.0,0.47542668765900553,0.47542668765900553,0.006240491615505936
regular,ridge,H_D_B_P_A,0.001,0.480384976606411,0.48038497660641094,0.0015598123212855097
regular,ridge,H_D_B_P_A,0.01,0.4663306412853731,0.4663306412853731,0.0037836745968966097
regular,ridge,H_D_B_P_A,0.1,0.4533768106061516,0.45337681060615165,0.004179778400779323
regular,ridge,H_D_B_P_A,1.0,0.4484928692900138,0.44849286929001375,0.003791427819615919
regular,ridge,H_D_B_P_A,10.0,0.45018626679027673,0.4501862667902767,0.004851962931519157
regular,ridge,H_M_P_A,0.001,0.48359254691559367,0.48359254691559367,0.0012285789621920371
regular,ridge,H_M_P_A,0.01,0.478716826464734,0.478716826464734,0.003106149535321476
regular,ridge,H_M_P_A,0.1,0.4787593505611821,0.478759350561182,0.004617925634788007
regular,ridge,H_M_P_A,1.0,0.47894035036996363,0.4789403503699637,0.004870422985441823
regular,ridge,H_M_P_A,10.0,0.4789621318385079,0.47896213183850794,0.004897423907118583
regular,ridge,H_D_M_P_A,0.001,0.48188087033127136,0.48188087033127136,0.0012328914531895604
regular,ridge,H_D_M_P_A,0.01,0.46979453974562685,0.46979453974562685,0.003076717899441387
regular,ridge,H_D_M_P_A,0.1,0.45683039419878235,0.4568303941987823,0.004285831637022496
regular,ridge,H_D_M_P_A,1.0,0.4510929552568424,0.4510929552568424,0.005712848702109981
regular,ridge,H_D_M_P_A,10.0,0.45262777899606116,0.4526277789960612,0.006944802309447581
regular,ridge,H_B_M_P_A,0.001,0.4813394009407049,0.48133940094070493,0.001392508745490009
regular,ridge,H_B_M_P_A,0.01,0.4737046532823292,0.47370465328232914,0.003426196925490036
regular,ridge,H_B_M_P_A,0.1,0.4737722228968204,0.4737722228968203,0.004728231273004886
regular,ridge,H_B_M_P_A,1.0,0.4740379408499488,0.47403794084994894,0.004934846965147152
regular,ridge,H_B_M_P_A,10.0,0.47407128467761933,0.4740712846776193,0.004956830160203535
regular,ridge,H_D_B_M_P_A,0.001,0.4796736403895876,0.4796736403895876,0.0013635040904446624
regular,ridge,H_D_B_M_P_A,0.01,0.46535037151439806,0.465350371514398,0.0031004037011908747
regular,ridge,H_D_B_M_P_A,0.1,0.45356484495286614,0.4535648449528661,0.0034301010193643375
regular,ridge,H_D_B_M_P_A,1.0,0.4489031459338098,0.4489031459338098,0.0035337409002893006
regular,ridge,H_D_B_M_P_A,10.0,0.4505753966981286,0.4505753966981286,0.004740225286788841
regular,ridge,H_C_A,0.001,0.48459303247016605,0.48459303247016594,0.0014014238541315046
regular,ridge,H_C_A,0.01,0.48129199834902514,0.4812919983490251,0.0036783308520734583
regular,ridge,H_C_A,0.1,0.48182433966406224,0.48182433966406224,0.005809290857463467
regular,ridge,H_C_A,1.0,0.4825791063324203,0.48257910633242024,0.006306956456776827
regular,ridge,H_C_A,10.0,0.4838282365477354,0.48382823654773527,0.006901117211205365
regular,ridge,H_D_C_A,0.001,0.482846084266287,0.482846084266287,0.001395269237165261
regular,ridge,H_D_C_A,0.01,0.47162354083037294,0.47162354083037294,0.0035102263418663694
regular,ridge,H_D_C_A,0.1,0.4575635117801836,0.4575635117801836,0.005030121306193246
regular,ridge,H_D_C_A,1.0,0.45210312581733125,0.4521031258173312,0.00648834672091579
regular,ridge,H_D_C_A,10.0,0.4541465000835689,0.45414650008356894,0.007504056392408395
regular,ridge,H_B_C_A,0.001,0.48222312203743145,0.48222312203743145,0.001591179244632539
regular,ridge,H_B_C_A,0.01,0.47539539157143995,0.47539539157143995,0.004384585813393124
regular,ridge,H_B_C_A,0.1,0.47580833022873065,0.4758083302287307,0.0067057703220530515
regular,ridge,H_B_C_A,1.0,0.47666595913474724,0.4766659591347472,0.007287177749556868
regular,ridge,H_B_C_A,10.0,0.4779089643065035,0.4779089643065035,0.007723348545030489
regular,ridge,H_D_B_C_A,0.001,0.4805248878855879,0.48052488788558795,0.0015552838079556182
regular,ridge,H_D_B_C_A,0.01,0.4664393675338163,0.46643936753381626,0.003876149529756081
regular,ridge,H_D_B_C_A,0.1,0.45387409909295506,0.45387409909295506,0.004821587554480405
regular,ridge,H_D_B_C_A,1.0,0.4495753725644396,0.4495753725644396,0.005233299522867306
regular,ridge,H_D_B_C_A,10.0,0.4516368651430761,0.45163686514307616,0.006167459884438864
regular,ridge,H_M_C_A,0.001,0.48377719538294767,0.48377719538294767,0.0012106853510573487
regular,ridge,H_M_C_A,0.01,0.47928181175178347,0.4792818117517834,0.0030672766186321393
regular,ridge,H_M_C_A,0.1,0.4799290121784437,0.4799290121784437,0.0048278334096627925
regular,ridge,H_M_C_A,1.0,0.48069868013852746,0.48069868013852746,0.005225148988316635
regular,ridge,H_M_C_A,10.0,0.48187152531797595,0.4818715253179759,0.005768170173903248
regular,ridge,H_D_M_C_A,0.001,0.4820565830099323,0.48205658300993226,0.0012157172509553024
regular,ridge,H_D_M_C_A,0.01,0.47017646156923654,0.47017646156923665,0.003023774021137679
regular,ridge,H_D_M_C_A,0.1,0.4573945768305916,0.4573945768305916,0.004538557553286275
regular,ridge,H_D_M_C_A,1.0,0.452359203637462,0.45235920363746196,0.006295895288348658
regular,ridge,H_D_M_C_A,10.0,0.4544215911545052,0.45442159115450514,0.007451477299794136
regular,ridge,H_B_M_C_A,0.001,0.48147421616899366,0.48147421616899366,0.0013873570969940591
regular,ridge,H_B_M_C_A,0.01,0.47390885671652744,0.4739088567165274,0.003570569910860643
regular,ridge,H_B_M_C_A,0.1,0.4745749575866659,0.47457495758666585,0.005384905069742641
regular,ridge,H_B_M_C_A,1.0,0.4754785299845684,0.47547852998456835,0.0058727582655995385
regular,ridge,H_B_M_C_A,10.0,0.4766752403077723,0.4766752403077722,0.006314661317837527
regular,ridge,H_D_B_M_C_A,0.001,0.4797999296836888,0.47979992968368873,0.001358025127150291
regular,ridge,H_D_B_M_C_A,0.01,0.4654299567185614,0.4654299567185614,0.0031337974496170886
regular,ridge,H_D_B_M_C_A,0.1,0.45401824198257446,0.45401824198257446,0.0038814283520663888
regular,ridge,H_D_B_M_C_A,1.0,0.4499723771181404,0.4499723771181404,0.004821254421298946
regular,ridge,H_D_B_M_C_A,10.0,0.45189271067216213,0.4518927106721621,0.005895783433761672
regular,ridge,H_P_C_A,0.001,0.4843653715749392,0.4843653715749392,0.001481247402006757
regular,ridge,H_P_C_A,0.01,0.4806277429985008,0.4806277429985008,0.004096225689800075
regular,ridge,H_P_C_A,0.1,0.4811313000934461,0.48113130009344607,0.006415153788392794
regular,ridge,H_P_C_A,1.0,0.48188690898770975,0.4818869089877097,0.006936206356747752
regular,ridge,H_P_C_A,10.0,0.483078544128736,0.483078544128736,0.0074771281996748535
regular,ridge,H_D_P_C_A,0.001,0.48262373583374124,0.4826237358337413,0.0014655533340247945
regular,ridge,H_D_P_C_A,0.01,0.47105683656498226,0.47105683656498226,0.003795205983883561
regular,ridge,H_D_P_C_A,0.1,0.45706754914268305,0.45706754914268294,0.005304759845514387
regular,ridge,H_D_P_C_A,1.0,0.45151964533850536,0.45151964533850536,0.0066605512109306425
regular,ridge,H_D_P_C_A,10.0,0.45366686748566976,0.45366686748566976,0.007693773360773044
regular,ridge,H_B_P_C_A,0.001,0.48204784962491043,0.48204784962491043,0.0016552055029443033
regular,ridge,H_B_P_C_A,0.01,0.47520377111868906,0.47520377111868906,0.0045939898823515075
regular,ridge,H_B_P_C_A,0.1,0.4757432194507507,0.47574321945075077,0.006917443699678726
regular,ridge,H_B_P_C_A,1.0,0.47660575230114477,0.47660575230114477,0.0074909493835778355
regular,ridge,H_B_P_C_A,10.0,0.4778190845804054,0.4778190845804054,0.007941241565034023
regular,ridge,H_D_B_P_C_A,0.001,0.48035318283837697,0.4803531828383769,0.0016132984485675431
regular,ridge,H_D_B_P_C_A,0.01,0.4663027092085156,0.4663027092085155,0.004040116390724285
regular,ridge,H_D_B_P_C_A,0.1,0.45385010647988777,0.45385010647988777,0.004950446896834346
regular,ridge,H_D_B_P_C_A,1.0,0.44941367812416444,0.4494136781241644,0.00538512121631442
regular,ridge,H_D_B_P_C_A,10.0,0.45142498277494164,0.4514249827749416,0.006206371783808733
