algorithm,has_history,domain,model,subset,collection_items,log_loss,full_model,benchmark,delta_loss_vs_full,upper95_vs_full_joint,delta_loss_vs_benchmark,upper95_vs_benchmark_joint,joint_family_contrasts,simultaneous_noninferior_full_margin_01,simultaneous_superior_benchmark,exploratory_dual_criterion_pass,status,model_variants_passing_same_subset,learner_families_passing_same_subset
ridge_fixed,False,extended_K,ridge_fixed::B_P_C_K,B_P_C_K,24,0.6568999430523016,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.024544626642459,-0.0061002700656166,-0.0287436067927149,-0.0102992502158725,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge,False,extended_K,ridge::B_M_P_K,B_M_P_K,24,0.659562500595995,ridge::D_B_M_P_C_A_K,prevalence,-0.0495484655777298,-0.0261110835605218,-0.0260810492490216,-0.0026436672318137,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,False,extended_K,ridge_fixed::B_M_P_K,B_M_P_K,24,0.659562500595995,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0218820690987656,-0.0034377125219232,-0.0260810492490216,-0.0076366926721792,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge,False,extended_K,ridge::M_P_C_K,M_P_C_K,24,0.661979648815949,ridge::D_B_M_P_C_A_K,prevalence,-0.0471313173577758,-0.0236939353405678,-0.0236639010290676,-0.0002265190118596,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,False,extended_K,ridge_fixed::M_P_C_K,M_P_C_K,24,0.661979648815949,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0194649208788115,-0.0010205643019691,-0.0236639010290676,-0.0052195444522251,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge,False,extended_K,ridge::B_M_P_C_K,B_M_P_C_K,25,0.6589681841620904,ridge::D_B_M_P_C_A_K,prevalence,-0.0501427820116345,-0.0267053999944265,-0.0266753656829262,-0.0032379836657183,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,False,extended_K,ridge_fixed::B_M_P_C_K,B_M_P_C_K,25,0.6589681841620904,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0224763855326702,-0.0040320289558278,-0.0266753656829262,-0.0082310091060838,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,2,1
ridge_fixed,False,extended_K,ridge_fixed::D_B_P_K,D_B_P_K,27,0.6654988512614038,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0159457184333568,0.0024986381434856,-0.0201446985836127,-0.0017003420067703,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
ridge_fixed,False,extended_K,ridge_fixed::D_B_P_C_K,D_B_P_C_K,28,0.6651399075693862,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0163046621253742,0.0021396944514681,-0.0205036422756302,-0.0020592856987878,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
ridge_fixed,False,extended_K,ridge_fixed::D_B_M_P_K,D_B_M_P_K,28,0.667042691421227,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0144018782735335,0.0040424783033088,-0.0186008584237895,-0.0001565018469471,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,1,1
