subgroup,model,n,events,event_rate,log_loss,brier,roc_auc,average_precision,calibration_intercept,calibration_slope
age_group_2,hgb::D_M_P_A_K,224,130,0.5803571428571429,0.7355364157263331,0.26449490404914683,0.533633387888707,0.6096208122235607,0.26047108004429076,0.09000209194921417
age_group_2,hgb::H_D_B_M_P_C_A,224,130,0.5803571428571429,0.7614194701616872,0.27370568495576403,0.47716857610474633,0.5522476135836738,0.42296970809735546,-0.12857987180534333
age_group_2,hgb::H_D_B_M_P_C_A_K,224,130,0.5803571428571429,0.7128484356858642,0.2558485426589989,0.5563011456628478,0.6358484086427583,0.09712314593150995,0.31501286592474115
age_group_2,hgb::H_D_M_P,224,130,0.5803571428571429,0.7226055799024463,0.2593066501408055,0.5322422258592472,0.5853165698514549,0.2625103472981238,0.10285557449219894
age_group_2,hgb::H_D_M_P_A,224,130,0.5803571428571429,0.7687019472106671,0.2765518613051374,0.4769230769230769,0.5693126276123365,0.4143915939091412,-0.11984431879971062
age_group_2,prevalence,224,130,0.5803571428571429,0.6808468656688043,0.2438716563759224,0.5,0.5803571428571429,,
age_group_2,ridge::D_A_K,224,130,0.5803571428571429,0.7432821463515739,0.2639041526314995,0.5148527004909984,0.5962574529153908,0.2708524093530159,0.06872711933473724
age_group_2,ridge::D_B,224,130,0.5803571428571429,0.7383337421477629,0.26439437105795766,0.4747135842880523,0.5599940948208092,0.4827253463880438,-0.24774979755663318
age_group_2,ridge::D_B_M_P_C_A,224,130,0.5803571428571429,0.7864302454868921,0.2790475905424422,0.45077741407528643,0.5410545933896207,0.5403384492947143,-0.26217950386229827
age_group_2,ridge::D_B_M_P_C_A_K,224,130,0.5803571428571429,0.7514257454218127,0.266696548663155,0.5171849427168577,0.5942984973785981,0.27661778069543597,0.05864552884991803
age_group_2,ridge::H_D,224,130,0.5803571428571429,0.7432823604829261,0.2599001556882044,0.5291734860883797,0.5885548388177309,0.25343755899915876,0.09407008604911817
age_group_2,ridge::H_D_B_A,224,130,0.5803571428571429,0.7877554137407833,0.2719862723268729,0.5041325695581015,0.5597168398223342,0.3136901339242951,0.011634872990309506
age_group_2,ridge::H_D_B_M_P_C_A,224,130,0.5803571428571429,0.7876341221786782,0.2727117639764284,0.50069558101473,0.5615270856295419,0.3208906103160342,0.0037031737004594683
age_group_2,ridge::H_D_B_M_P_C_A_K,224,130,0.5803571428571429,0.7534355169803002,0.2620602534067897,0.553518821603928,0.6110299275413633,0.1480979798242283,0.19790994979046372
age_group_3,P0,363,208,0.5730027548209367,0.6646181565170067,0.2358991205936945,0.589485111662531,0.621689557998209,0.01025363627660385,0.9138538981687103
