model,subset,has_history,n_blocks,raw_items,additional_items,model_input_variables,algorithm,best_config,oof_log_loss,fold_se,encoded_features,n,events,event_rate,log_loss,brier,roc_auc,average_precision,calibration_intercept,calibration_slope
ridge::H_D_P_C,H_D_P_C,True,4.0,17,16,7,ridge,1.0,0.6411656135944186,0.009402983834943,37,1520,853,0.5611842105263158,0.6986708024712186,0.2454263863066896,0.5999093067768578,0.6066653239721582,0.1094044785980822,0.3932459997734343
ridge_fixed::H_D_P_C,H_D_P_C,True,4.0,17,16,7,ridge_fixed,0.1,0.6436496269446353,0.006021400371898256,37,1520,853,0.5611842105263158,0.6704459177456633,0.2376687520164054,0.6120896175593329,0.6233349306952616,0.0355130749566814,0.6598070705383626
ridge::H_B_P_C,H_B_P_C,True,4.0,14,13,4,ridge,0.1,0.6581750886830957,0.0042980258434425,7,1520,853,0.5611842105263158,0.6592588775492048,0.2332249807849351,0.6148139294948072,0.6268009776278194,-0.0531544356454765,1.00052867151534
ridge_fixed::H_B_P_C,H_B_P_C,True,4.0,14,13,4,ridge_fixed,0.1,0.6581750886830957,0.004298025843442504,7,1520,853,0.5611842105263158,0.6592588775492048,0.2332249807849351,0.6148139294948072,0.6268009776278194,-0.0531544356454765,1.00052867151534
ridge::H_D_B_P_C,H_D_B_P_C,True,5.0,18,17,8,ridge,1.0,0.6389895302013353,0.008250727219624,38,1520,853,0.5611842105263158,0.6941116093155131,0.2434406901194064,0.6076305340881727,0.6130509342389467,0.0981467747396816,0.4275186158515266
ridge_fixed::H_D_B_P_C,H_D_B_P_C,True,5.0,18,17,8,ridge_fixed,0.1,0.6408678486796017,0.005057218745512389,38,1520,853,0.5611842105263158,0.6668790725770694,0.2359865701690385,0.618823062091463,0.6306815865583557,0.0285453301082969,0.678372496567014
ridge::H_M_P_C,H_M_P_C,True,4.0,14,13,4,ridge,0.1,0.662913843288672,0.0030072857982776,7,1520,853,0.5611842105263158,0.6594039241702615,0.2333150269446113,0.6165197002905347,0.6186600265678908,-0.0878646918898557,1.1318794790651694
ridge_fixed::H_M_P_C,H_M_P_C,True,4.0,14,13,4,ridge_fixed,0.1,0.662913843288672,0.003007285798277692,7,1520,853,0.5611842105263158,0.6594039241702615,0.2333150269446113,0.6165197002905347,0.6186600265678908,-0.0878646918898557,1.1318794790651694
ridge::H_D_M_P_C,H_D_M_P_C,True,5.0,18,17,8,ridge,1.0,0.641371068926308,0.0093793248337258,38,1520,853,0.5611842105263158,0.7007023505178803,0.246393035839732,0.5960416626387861,0.6036279990611051,0.1139630052218898,0.379549930130358
ridge_fixed::H_D_M_P_C,H_D_M_P_C,True,5.0,18,17,8,ridge_fixed,0.1,0.6437236681997281,0.00603838219858411,38,1520,853,0.5611842105263158,0.670455539095167,0.2376747741357875,0.61204831347515,0.6233587079207298,0.0357329268712526,0.6597619477156643
ridge::H_B_M_P_C,H_B_M_P_C,True,5.0,15,14,5,ridge,0.1,0.6583572548093996,0.0042119015276036,8,1520,853,0.5611842105263158,0.6583944317582967,0.2328167510022168,0.6182052584493216,0.6280215648565104,-0.0580419120475137,1.0153514976976772
ridge_fixed::H_B_M_P_C,H_B_M_P_C,True,5.0,15,14,5,ridge_fixed,0.1,0.6583572548093996,0.004211901527603615,8,1520,853,0.5611842105263158,0.6583944317582967,0.2328167510022168,0.6182052584493216,0.6280215648565104,-0.0580419120475137,1.0153514976976772
ridge::H_D_B_M_P_C,H_D_B_M_P_C,True,6.0,19,18,9,ridge,1.0,0.6391421838930499,0.008240418074365,39,1520,853,0.5611842105263158,0.6968980896802975,0.24473299611806,0.6022926403152469,0.6088307909500759,0.1035286083948382,0.4094849372618664
ridge_fixed::H_D_B_M_P_C,H_D_B_M_P_C,True,6.0,19,18,9,ridge_fixed,0.1,0.6409527145860099,0.005062879415737444,39,1520,853,0.5611842105263158,0.6681167402062508,0.236565102552517,0.6161514787740948,0.6280270065308406,0.0323262398370975,0.6660925420253353
ridge::H_A,H_A,True,2.0,2,1,2,ridge,0.1,0.6598425482035736,0.0036903753756648,2,1520,853,0.5611842105263158,0.6742887322988218,0.2395724873253626,0.5840142648488182,0.6039614234698504,-0.0314779132734924,0.715996218268647
ridge_fixed::H_A,H_A,True,2.0,2,1,2,ridge_fixed,0.1,0.6598425482035736,0.0036903753756648994,2,1520,853,0.5611842105263158,0.6742887322988218,0.2395724873253626,0.5840142648488182,0.6039614234698504,-0.0314779132734924,0.715996218268647
ridge::H_D_A,H_D_A,True,3.0,6,5,6,ridge,1.0,0.6380071651246797,0.0090825263647093,33,1520,853,0.5611842105263158,0.715401927734172,0.2489439485362173,0.5946628092753155,0.5916741015957665,0.101831150390257,0.3221168467147166
ridge_fixed::H_D_A,H_D_A,True,3.0,6,5,6,ridge_fixed,0.1,0.641254452273741,0.005961216209229159,33,1520,853,0.5611842105263158,0.683932365298994,0.2416181984912639,0.6015104991466753,0.5981615388139458,0.0298133325926482,0.5259090026347444
ridge::H_B_A,H_B_A,True,3.0,3,2,3,ridge,0.1,0.6557119973590803,0.0045488774400401,3,1520,853,0.5611842105263158,0.670901879743086,0.237589265113106,0.5987018214222314,0.6046835653703918,-0.0379914307132669,0.7267678513604272
ridge_fixed::H_B_A,H_B_A,True,3.0,3,2,3,ridge_fixed,0.1,0.6557119973590803,0.004548877440040126,3,1520,853,0.5611842105263158,0.670901879743086,0.237589265113106,0.5987018214222314,0.6046835653703918,-0.0379914307132669,0.7267678513604272
ridge::H_D_B_A,H_D_B_A,True,4.0,7,6,7,ridge,1.0,0.6362755316368176,0.0075307203751763,34,1520,853,0.5611842105263158,0.7098588727184805,0.2464844486663895,0.601496438181847,0.597059623132559,0.0865016412163951,0.3575780089198818
ridge_fixed::H_D_B_A,H_D_B_A,True,4.0,7,6,7,ridge_fixed,0.1,0.6390158528598825,0.00463478704275531,34,1520,853,0.5611842105263158,0.679312289506655,0.2392734306715704,0.6105956400463308,0.6048919734566751,0.0155007936268497,0.5597140952756066
ridge::H_M_A,H_M_A,True,3.0,3,2,3,ridge,0.1,0.6599667537001243,0.003505098158803,3,1520,853,0.5611842105263158,0.6720357150766995,0.2385539113033738,0.6097221026063756,0.6234166290936797,-0.0460767005178648,0.7513885547162756
ridge_fixed::H_M_A,H_M_A,True,3.0,3,2,3,ridge_fixed,0.1,0.6599667537001243,0.0035050981588030544,3,1520,853,0.5611842105263158,0.6720357150766995,0.2385539113033738,0.6097221026063756,0.6234166290936797,-0.0460767005178648,0.7513885547162756
ridge::H_D_M_A,H_D_M_A,True,4.0,7,6,7,ridge,1.0,0.6380852067170125,0.009088624756367,34,1520,853,0.5611842105263158,0.7184336206077944,0.250264122550396,0.5903030313682549,0.5880128372245943,0.1092151126729915,0.3057305499682792
ridge_fixed::H_D_M_A,H_D_M_A,True,4.0,7,6,7,ridge_fixed,0.1,0.6413174002261905,0.005958164755811575,34,1520,853,0.5611842105263158,0.6846312712303366,0.2419205089769931,0.6002212844339847,0.5973530672114732,0.0321369695841064,0.5199463861201451
ridge::H_B_M_A,H_B_M_A,True,4.0,4,3,4,ridge,0.1,0.6558940017566006,0.0044803047189934,4,1520,853,0.5611842105263158,0.6701807686552006,0.2372688936496629,0.6109462853567355,0.6113786813296654,-0.0421411452886914,0.7363951314302682
ridge_fixed::H_B_M_A,H_B_M_A,True,4.0,4,3,4,ridge_fixed,0.1,0.6558940017566006,0.004480304718993435,4,1520,853,0.5611842105263158,0.6701807686552006,0.2372688936496629,0.6109462853567355,0.6113786813296654,-0.0421411452886914,0.7363951314302682
ridge::H_D_B_M_A,H_D_B_M_A,True,5.0,8,7,8,ridge,1.0,0.6362310759849575,0.0075862712828936,35,1520,853,0.5611842105263158,0.7138935134653298,0.2481909507850573,0.5967886513952871,0.5923178047193032,0.096020479311114,0.3357150721950441
ridge_fixed::H_D_B_M_A,H_D_B_M_A,True,5.0,8,7,8,ridge_fixed,0.1,0.6390253048898262,0.004680784630990396,35,1520,853,0.5611842105263158,0.6812635301028807,0.2401152121232115,0.6074222560466542,0.6018311400954525,0.022252464997646,0.5436676742537351
ridge::H_P_A,H_P_A,True,3.0,13,12,3,ridge,0.1,0.6602667508879307,0.0037279826754298,3,1520,853,0.5611842105263158,0.6750709856321985,0.2400045213589509,0.5652261794073655,0.5963872139852604,-0.0252753159665189,0.7051276535484482
ridge_fixed::H_P_A,H_P_A,True,3.0,13,12,3,ridge_fixed,0.1,0.6602667508879307,0.003727982675429871,3,1520,853,0.5611842105263158,0.6750709856321985,0.2400045213589509,0.5652261794073655,0.5963872139852604,-0.0252753159665189,0.7051276535484482
ridge::H_D_P_A,H_D_P_A,True,4.0,17,16,7,ridge,1.0,0.6380894913486092,0.009761296454816,34,1520,853,0.5611842105263158,0.7171619204988859,0.2500450566259966,0.590542946580637,0.58999874647452,0.1101939355164314,0.3094141298707284
ridge_fixed::H_D_P_A,H_D_P_A,True,4.0,17,16,7,ridge_fixed,0.1,0.6413535855572116,0.006478115155910118,34,1520,853,0.5611842105263158,0.6853698207496618,0.2424973597019027,0.5986719418719714,0.5985475945485945,0.0394360458771583,0.5117641976650078
ridge::H_B_P_A,H_B_P_A,True,4.0,14,13,4,ridge,0.1,0.6558327693862638,0.0043889450368274,4,1520,853,0.5611842105263158,0.6724829626187756,0.2384772940130492,0.5891851846644087,0.5986081268232469,-0.0265800015401771,0.7064971491140865
