model,subset,has_history,n_blocks,raw_items,additional_items,model_input_variables,algorithm,best_config,oof_log_loss,fold_se,encoded_features,n,events,event_rate,log_loss,brier,roc_auc,average_precision,calibration_intercept,calibration_slope
ridge_fixed::B_M_K,B_M_K,False,3.0,13,13,3,ridge_fixed,0.1,0.664113310260305,0.0036423378259500144,3,1520,853,0.5611842105263158,0.6552804678335662,0.2316260086350109,0.6432662918247793,0.6898219294844417,-0.0126598917880603,1.2500175571199177
ridge::D_B_M_K,D_B_M_K,False,4.0,17,17,7,ridge,1.0,0.6505264016533987,0.0070873144622343,34,1520,853,0.5611842105263158,0.6855186018604125,0.2431602704337963,0.6075338649549786,0.6332930057306719,0.1249540677238618,0.4849840714563351
ridge_fixed::D_B_M_K,D_B_M_K,False,4.0,17,17,7,ridge_fixed,0.1,0.6518603486057966,0.004838476980603181,34,1520,853,0.5611842105263158,0.6625869806154916,0.2350763124731252,0.6245599357413907,0.6642935218895183,0.0594238745732144,0.797467557261233
ridge::P_K,P_K,False,2.0,22,22,2,ridge,0.1,0.6697886445882665,0.0046117480753112,2,1520,853,0.5611842105263158,0.661970526359566,0.2348274786854371,0.6320491571330396,0.6909519221862055,-0.0060155728397298,1.3318500730175096
ridge_fixed::P_K,P_K,False,2.0,22,22,2,ridge_fixed,0.1,0.6697886445882665,0.004611748075311295,2,1520,853,0.5611842105263158,0.661970526359566,0.2348274786854371,0.6320491571330396,0.6909519221862055,-0.0060155728397298,1.3318500730175096
ridge::D_P_K,D_P_K,False,3.0,26,26,6,ridge,1.0,0.6528869353216161,0.0102272441734964,33,1520,853,0.5611842105263158,0.6948938547550048,0.2477271673059365,0.5894075236707556,0.6251806641109882,0.1541962665897548,0.3993665455353956
ridge_fixed::D_P_K,D_P_K,False,3.0,26,26,6,ridge_fixed,0.1,0.654747107758003,0.00767986279526675,33,1520,853,0.5611842105263158,0.6710381685328014,0.2391872706444772,0.6081595778898358,0.6621841225711804,0.0946976134953129,0.7052708610233163
ridge::B_P_K,B_P_K,False,3.0,23,23,3,ridge,0.1,0.6633194413068036,0.0036201465228267,3,1520,853,0.5611842105263158,0.6576856629831351,0.232835419801569,0.6346126467832907,0.6860280915648045,0.0169638235817021,1.140962838312801
ridge_fixed::B_P_K,B_P_K,False,3.0,23,23,3,ridge_fixed,0.1,0.6633194413068036,0.00362014652282673,3,1520,853,0.5611842105263158,0.6576856629831351,0.232835419801569,0.6346126467832907,0.6860280915648045,0.0169638235817021,1.140962838312801
ridge::D_B_P_K,D_B_P_K,False,4.0,27,27,7,ridge,1.0,0.6490564062408024,0.0083761166635505,34,1520,853,0.5611842105263158,0.688334126329859,0.2443280366815738,0.6056936361830808,0.633128355942326,0.1381027122590684,0.4609208389330853
ridge_fixed::D_B_P_K,D_B_P_K,False,4.0,27,27,7,ridge_fixed,0.1,0.6503867630485357,0.005908341414815064,34,1520,853,0.5611842105263158,0.6654988512614038,0.2364692462825714,0.6208249919588857,0.6646617275937139,0.0826490140645205,0.7400807165643583
ridge::M_P_K,M_P_K,False,3.0,23,23,3,ridge,0.1,0.670064278364502,0.0046784550797449,3,1520,853,0.5611842105263158,0.6624747283481627,0.2350704732511413,0.6300551365583328,0.6893585187469542,-0.0019657030032721,1.3150097577510034
ridge_fixed::M_P_K,M_P_K,False,3.0,23,23,3,ridge_fixed,0.1,0.670064278364502,0.004678455079744986,3,1520,853,0.5611842105263158,0.6624747283481627,0.2350704732511413,0.6300551365583328,0.6893585187469542,-0.0019657030032721,1.3150097577510034
ridge::D_M_P_K,D_M_P_K,False,4.0,27,27,7,ridge,1.0,0.6533282313174947,0.0101713450592229,34,1520,853,0.5611842105263158,0.6958403015172919,0.2481397637849811,0.5877729365094709,0.6244302932255227,0.1562911876214367,0.3906541357073184
ridge_fixed::D_M_P_K,D_M_P_K,False,4.0,27,27,7,ridge_fixed,0.1,0.6549975839470586,0.007630767675663859,34,1520,853,0.5611842105263158,0.6713531979819107,0.2393374316472111,0.6075426530579962,0.6619864669266637,0.0955689683150766,0.7006596779511169
ridge::B_M_P_K,B_M_P_K,False,4.0,24,24,4,ridge,0.1,0.6634975815715906,0.0035397981844945,4,1520,853,0.5611842105263158,0.659562500595995,0.2337467382236618,0.6297747960720694,0.6828284992225641,0.0275071008825714,1.1009865986600742
ridge_fixed::B_M_P_K,B_M_P_K,False,4.0,24,24,4,ridge_fixed,0.1,0.6634975815715906,0.003539798184494532,4,1520,853,0.5611842105263158,0.659562500595995,0.2337467382236618,0.6297747960720694,0.6828284992225641,0.0275071008825714,1.1009865986600742
ridge::D_B_M_P_K,D_B_M_P_K,False,5.0,28,28,8,ridge,1.0,0.6493523079670165,0.0082450362909143,35,1520,853,0.5611842105263158,0.6902932676106529,0.2452775994134613,0.6018725689910027,0.6312967267588313,0.1420536834158177,0.4444616559680823
ridge_fixed::D_B_M_P_K,D_B_M_P_K,False,5.0,28,28,8,ridge_fixed,0.1,0.6506109537950998,0.005802912321457641,35,1520,853,0.5611842105263158,0.667042691421227,0.2372089488271289,0.6176770934579603,0.6632594118400832,0.0875574515810833,0.720748859610425
ridge::C_K,C_K,False,2.0,12,12,2,ridge,0.1,0.6698410834275197,0.0039225924730308,5,1520,853,0.5611842105263158,0.6577914542596741,0.2327788098160666,0.6467569263433933,0.6949420504719787,-0.0556465814333626,1.518687917657508
ridge_fixed::C_K,C_K,False,2.0,12,12,2,ridge_fixed,0.1,0.6698410834275197,0.003922592473030898,5,1520,853,0.5611842105263158,0.6577914542596741,0.2327788098160666,0.6467569263433933,0.6949420504719787,-0.0556465814333626,1.518687917657508
ridge::D_C_K,D_C_K,False,3.0,16,16,6,ridge,1.0,0.6546284367911368,0.0088751666895693,36,1520,853,0.5611842105263158,0.6894405313296978,0.2452802037913465,0.595163731147322,0.6279684948796418,0.1343934036724009,0.4473626011034645
ridge_fixed::D_C_K,D_C_K,False,3.0,16,16,6,ridge_fixed,0.1,0.6558786518748858,0.006551588046399781,36,1520,853,0.5611842105263158,0.6661890288921699,0.2369358859219475,0.6145414983012596,0.6651168574453962,0.0633849051484288,0.789698176901638
ridge::B_C_K,B_C_K,False,3.0,13,13,3,ridge,0.1,0.6641808102988377,0.0035342688704203,6,1520,853,0.5611842105263158,0.652237315068973,0.2301466188629297,0.6510613392014427,0.6934187094945666,-0.034447498461721,1.3232613696154212
ridge_fixed::B_C_K,B_C_K,False,3.0,13,13,3,ridge_fixed,0.1,0.6641808102988377,0.0035342688704203024,6,1520,853,0.5611842105263158,0.652237315068973,0.2301466188629297,0.6510613392014427,0.6934187094945666,-0.034447498461721,1.3232613696154212
ridge::D_B_C_K,D_B_C_K,False,4.0,17,17,7,ridge,1.0,0.6515473215012775,0.0067188057312769,37,1520,853,0.5611842105263158,0.6818986393286821,0.2413866818231729,0.613838450059847,0.6357467920578963,0.113103630482994,0.5176318268145434
ridge_fixed::D_B_C_K,D_B_C_K,False,4.0,17,17,7,ridge_fixed,0.1,0.6523504992896186,0.0045345259996085185,37,1520,853,0.5611842105263158,0.6595085645031791,0.2336127030648332,0.6308100346075497,0.6672331094649726,0.0451882759640702,0.8402865585419899
ridge::M_C_K,M_C_K,False,3.0,13,13,3,ridge,0.1,0.6701320659093889,0.0040141741737671,6,1520,853,0.5611842105263158,0.6589655330464331,0.2333472728583921,0.6430342859051131,0.6936221554027624,-0.0459735134470428,1.4747359449627306
ridge_fixed::M_C_K,M_C_K,False,3.0,13,13,3,ridge_fixed,0.1,0.6701320659093889,0.004014174173767177,6,1520,853,0.5611842105263158,0.6589655330464331,0.2333472728583921,0.6430342859051131,0.6936221554027624,-0.0459735134470428,1.4747359449627306
ridge::D_M_C_K,D_M_C_K,False,4.0,17,17,7,ridge,1.0,0.6549361820142763,0.008873015508405,37,1520,853,0.5611842105263158,0.6923235624623448,0.2466160927690972,0.589548133319038,0.624425724680588,0.1413843150442713,0.4199309627860542
ridge_fixed::D_M_C_K,D_M_C_K,False,4.0,17,17,7,ridge_fixed,0.1,0.6560544879017526,0.006507910411123101,37,1520,853,0.5611842105263158,0.6678301446140482,0.2377206368771761,0.6107239463503887,0.6627887035525198,0.0696547588038806,0.7635588429505415
ridge::B_M_C_K,B_M_C_K,False,4.0,14,14,4,ridge,0.1,0.6643298448689726,0.0034786668625194,7,1520,853,0.5611842105263158,0.6548792499896149,0.2314250164603715,0.6444720195588021,0.6900340394641601,-0.0171877403542788,1.2563492495511122
ridge_fixed::B_M_C_K,B_M_C_K,False,4.0,14,14,4,ridge_fixed,0.1,0.6643298448689726,0.0034786668625194964,7,1520,853,0.5611842105263158,0.6548792499896149,0.2314250164603715,0.6444720195588021,0.6900340394641601,-0.0171877403542788,1.2563492495511122
ridge::D_B_M_C_K,D_B_M_C_K,False,5.0,18,18,8,ridge,1.0,0.6517718728926184,0.0066970362409743,38,1520,853,0.5611842105263158,0.6858969485095997,0.2433339078705821,0.6057920629368786,0.6315213382487639,0.1228929836817661,0.4813729384617871
ridge_fixed::D_B_M_C_K,D_B_M_C_K,False,5.0,18,18,8,ridge_fixed,0.1,0.6524439353235685,0.004483331871353232,38,1520,853,0.5611842105263158,0.6626823441848146,0.2351322851708349,0.623552819135567,0.6629254193839045,0.0568331044359907,0.7948867322624105
ridge::P_C_K,P_C_K,False,3.0,23,23,3,ridge,0.1,0.6699249544068876,0.0041677477806739,6,1520,853,0.5611842105263158,0.6612553582464039,0.2344860111480769,0.6333647361547832,0.6914123552687115,-0.0141374363391208,1.3522524094087731
ridge_fixed::P_C_K,P_C_K,False,3.0,23,23,3,ridge_fixed,0.1,0.6699249544068876,0.004167747780673961,6,1520,853,0.5611842105263158,0.6612553582464039,0.2344860111480769,0.6333647361547832,0.6914123552687115,-0.0141374363391208,1.3522524094087731
ridge::D_P_C_K,D_P_C_K,False,4.0,27,27,7,ridge,1.0,0.6541342196355429,0.0098223601414846,37,1520,853,0.5611842105263158,0.6948789717579044,0.2477186956891133,0.5878906970899076,0.6241120955651774,0.1514629308337071,0.3991924674915888
ridge_fixed::D_P_C_K,D_P_C_K,False,4.0,27,27,7,ridge_fixed,0.1,0.6553195381363154,0.007328055385715686,37,1520,853,0.5611842105263158,0.6707716531819047,0.2390983701953692,0.6069485772940024,0.6615531530609803,0.0903879218758695,0.7081175982151513
ridge::B_P_C_K,B_P_C_K,False,4.0,24,24,4,ridge,0.1,0.6635355041609993,0.0032724457468503,7,1520,853,0.5611842105263158,0.6568999430523016,0.2324503160173181,0.6360890480902573,0.6855829453826914,0.0090572689964868,1.1634431855763114
ridge_fixed::B_P_C_K,B_P_C_K,False,4.0,24,24,4,ridge_fixed,0.1,0.6635355041609993,0.0032724457468503365,7,1520,853,0.5611842105263158,0.6568999430523016,0.2324503160173181,0.6360890480902573,0.6855829453826914,0.0090572689964868,1.1634431855763114
ridge::D_B_P_C_K,D_B_P_C_K,False,5.0,28,28,8,ridge,1.0,0.650367563919362,0.0079392899896637,38,1520,853,0.5611842105263158,0.6881898025410765,0.2442582201461285,0.60511098495301,0.6321220605465588,0.1346466116412595,0.4617479033046843
ridge_fixed::D_B_P_C_K,D_B_P_C_K,False,5.0,28,28,8,ridge_fixed,0.1,0.6510144454451661,0.005442736833292182,38,1520,853,0.5611842105263158,0.6651399075693862,0.2363122592897781,0.6206342901234025,0.6636529792436148,0.0784073947431523,0.7437929881441984
ridge::M_P_C_K,M_P_C_K,False,4.0,24,24,4,ridge,0.1,0.6702277065638427,0.0042505118329495,7,1520,853,0.5611842105263158,0.661979648815949,0.2348363650817361,0.6314867185399093,0.6895884951103214,-0.0083690337575436,1.3273803505664377
ridge_fixed::M_P_C_K,M_P_C_K,False,4.0,24,24,4,ridge_fixed,0.1,0.6702277065638427,0.004250511832949598,7,1520,853,0.5611842105263158,0.661979648815949,0.2348363650817361,0.6314867185399093,0.6895884951103214,-0.0083690337575436,1.3273803505664377
ridge::D_M_P_C_K,D_M_P_C_K,False,5.0,28,28,8,ridge,1.0,0.6545592683585901,0.0097832408835822,38,1520,853,0.5611842105263158,0.6960545801447949,0.2482746426991855,0.5854124520389278,0.622709034884912,0.15425047367683,0.3887281111593238
ridge_fixed::D_M_P_C_K,D_M_P_C_K,False,5.0,28,28,8,ridge_fixed,0.1,0.6555165145777714,0.007252946507275968,38,1520,853,0.5611842105263158,0.6713735976778893,0.2393844547887097,0.6056690294946314,0.6609907077920348,0.0927733436653481,0.6993014038611106
ridge::B_M_P_C_K,B_M_P_C_K,False,5.0,25,25,5,ridge,0.1,0.6637253348768435,0.0032221125454986,8,1520,853,0.5611842105263158,0.6589681841620904,0.233455741185574,0.6309084613613475,0.6818794174611991,0.0205485540070644,1.1168307061446556
ridge_fixed::B_M_P_C_K,B_M_P_C_K,False,5.0,25,25,5,ridge_fixed,0.1,0.6637253348768435,0.0032221125454986515,8,1520,853,0.5611842105263158,0.6589681841620904,0.233455741185574,0.6309084613613475,0.6818794174611991,0.0205485540070644,1.1168307061446556
ridge::D_B_M_P_C_K,D_B_M_P_C_K,False,6.0,29,29,9,ridge,1.0,0.6506684916270983,0.0078795730328442,39,1520,853,0.5611842105263158,0.6906410876249356,0.2454093142648309,0.6005042613511533,0.6298176267401995,0.1398328617160197,0.4412477755085066
ridge_fixed::D_B_M_P_C_K,D_B_M_P_C_K,False,6.0,29,29,9,ridge_fixed,0.1,0.651204836980161,0.005358718050958402,39,1520,853,0.5611842105263158,0.6670730485431332,0.2372377879991695,0.6166620675594208,0.6619481269147991,0.0844336572777708,0.719472294279809
ridge::A_K,A_K,False,2.0,12,12,2,ridge,0.1,0.6650247216444075,0.0035873661215053,2,1520,853,0.5611842105263158,0.6711736090830889,0.2393845357356171,0.599004132166039,0.6620913354407645,0.0057205341036578,0.7712524274475177
ridge_fixed::A_K,A_K,False,2.0,12,12,2,ridge_fixed,0.1,0.6650247216444075,0.0035873661215053395,2,1520,853,0.5611842105263158,0.6711736090830889,0.2393845357356171,0.599004132166039,0.6620913354407645,0.0057205341036578,0.7712524274475177
ridge::D_A_K,D_A_K,False,3.0,16,16,6,ridge,1.0,0.6495521869548352,0.0092141651081421,33,1520,853,0.5611842105263158,0.7100384276318275,0.252096572201968,0.5793099933034654,0.6070750491343417,0.1326328054530052,0.313257749337922
ridge_fixed::D_A_K,D_A_K,False,3.0,16,16,6,ridge_fixed,0.1,0.6514931154653539,0.006559887532799609,33,1520,853,0.5611842105263158,0.6823409560853778,0.2436244205186488,0.5917100066613821,0.6319818035749378,0.0667630041567546,0.5324320490594483
ridge::B_A_K,B_A_K,False,3.0,13,13,3,ridge,0.1,0.6596940001985669,0.003123641627825,3,1520,853,0.5611842105263158,0.666372948792042,0.2366046929274473,0.6165952779764865,0.6569963437655504,-0.0061772053982178,0.7877753226943908
ridge_fixed::B_A_K,B_A_K,False,3.0,13,13,3,ridge_fixed,0.1,0.6596940001985669,0.0031236416278250232,3,1520,853,0.5611842105263158,0.666372948792042,0.2366046929274473,0.6165952779764865,0.6569963437655504,-0.0061772053982178,0.7877753226943908
ridge::D_B_A_K,D_B_A_K,False,4.0,17,17,7,ridge,1.0,0.6465315444142528,0.0069566892636394,34,1520,853,0.5611842105263158,0.7018587040038085,0.2477852456600699,0.5954537385469048,0.6139730940455793,0.1092376271536045,0.3755202221122459
ridge_fixed::D_B_A_K,D_B_A_K,False,4.0,17,17,7,ridge_fixed,0.1,0.648094341783876,0.004464411487711491,34,1520,853,0.5611842105263158,0.6757643665502623,0.2400345202372857,0.6076217459851552,0.634505962228664,0.0443258338395866,0.5915347538241424
ridge::M_A_K,M_A_K,False,3.0,13,13,3,ridge,0.1,0.6653003794122406,0.0036648247244795,3,1520,853,0.5611842105263158,0.6717640402690699,0.2396660920629451,0.5969134424581379,0.663198988780552,0.0097749267214773,0.7600046958772596
ridge_fixed::M_A_K,M_A_K,False,3.0,13,13,3,ridge_fixed,0.1,0.6653003794122406,0.0036648247244795264,3,1520,853,0.5611842105263158,0.6717640402690699,0.2396660920629451,0.5969134424581379,0.663198988780552,0.0097749267214773,0.7600046958772596
ridge::D_M_A_K,D_M_A_K,False,4.0,17,17,7,ridge,1.0,0.6497370063584609,0.0091825032757784,34,1520,853,0.5611842105263158,0.7119994035192497,0.2529772864318735,0.576459132684537,0.6051514493251231,0.1375166050399159,0.3001085633222351
ridge_fixed::D_M_A_K,D_M_A_K,False,4.0,17,17,7,ridge_fixed,0.1,0.6516602044707108,0.00653994231447264,34,1520,853,0.5611842105263158,0.6833564918359376,0.2440922789311851,0.5900385094674234,0.6308228028188022,0.0709067705070331,0.5215162404952539
ridge::B_M_A_K,B_M_A_K,False,4.0,14,14,4,ridge,0.1,0.6598454352383608,0.0031022181115805,4,1520,853,0.5611842105263158,0.6684455708595938,0.2375976557690163,0.6115324518280134,0.654827089770218,0.0056810439397863,0.7559291124443962
ridge_fixed::B_M_A_K,B_M_A_K,False,4.0,14,14,4,ridge_fixed,0.1,0.6598454352383608,0.003102218111580537,4,1520,853,0.5611842105263158,0.6684455708595938,0.2375976557690163,0.6115324518280134,0.654827089770218,0.0056810439397863,0.7559291124443962
ridge::D_B_M_A_K,D_B_M_A_K,False,5.0,18,18,8,ridge,1.0,0.6467528583495165,0.0070192769683533,35,1520,853,0.5611842105263158,0.7052913847663693,0.2493554289657844,0.5901887860290254,0.6104869933891027,0.1179339934869638,0.3524455091243529
ridge_fixed::D_B_M_A_K,D_B_M_A_K,False,5.0,18,18,8,ridge_fixed,0.1,0.6482045324932886,0.0045271336261163714,35,1520,853,0.5611842105263158,0.6784009650362811,0.2412398109315759,0.6031758446685215,0.6310811572185202,0.0539716409547734,0.5653288579278154
ridge::P_A_K,P_A_K,False,3.0,23,23,3,ridge,0.1,0.6652843943967749,0.0034853909711594,3,1520,853,0.5611842105263158,0.6734403296927775,0.2405744047889253,0.5914692126386982,0.6635262885271505,0.0249160286996538,0.7272944385324234
ridge_fixed::P_A_K,P_A_K,False,3.0,23,23,3,ridge_fixed,0.1,0.6652843943967749,0.003485390971159481,3,1520,853,0.5611842105263158,0.6734403296927775,0.2405744047889253,0.5914692126386982,0.6635262885271505,0.0249160286996538,0.7272944385324234
ridge::D_P_A_K,D_P_A_K,False,4.0,27,27,7,ridge,1.0,0.6491660104836356,0.0098429281757285,34,1520,853,0.5611842105263158,0.7135054749112824,0.2538767252645173,0.5743622913045237,0.6076243334156917,0.145095407335051,0.2906264174790182
ridge_fixed::D_P_A_K,D_P_A_K,False,4.0,27,27,7,ridge_fixed,0.1,0.6511578183517667,0.007048802503108373,34,1520,853,0.5611842105263158,0.6852640454025044,0.2451994530665367,0.5863773857502668,0.6339001398053327,0.084295749289358,0.4992041873048246
ridge::B_P_A_K,B_P_A_K,False,4.0,24,24,4,ridge,0.1,0.6593124457079612,0.0023038683399328,4,1520,853,0.5611842105263158,0.6694519731390196,0.2382577289956915,0.6070768835980603,0.6571178888953131,0.0181701316171878,0.7366118105483282
ridge_fixed::B_P_A_K,B_P_A_K,False,4.0,24,24,4,ridge_fixed,0.1,0.6593124457079612,0.0023038683399328607,4,1520,853,0.5611842105263158,0.6694519731390196,0.2382577289956915,0.6070768835980603,0.6571178888953131,0.0181701316171878,0.7366118105483282
ridge::D_B_P_A_K,D_B_P_A_K,False,5.0,28,28,8,ridge,1.0,0.645554504910448,0.0077768955519503,35,1520,853,0.5611842105263158,0.7058808738345653,0.2499479404746488,0.5899453555754363,0.6161062617778498,0.1248610418629192,0.3496940246349226
ridge_fixed::D_B_P_A_K,D_B_P_A_K,False,5.0,28,28,8,ridge_fixed,0.1,0.6470416788267345,0.005010829912825458,35,1520,853,0.5611842105263158,0.6794527802359973,0.2420672390276398,0.6013294642245115,0.6362706709880799,0.0670610540402703,0.5508964265162835
ridge::M_P_A_K,M_P_A_K,False,4.0,24,24,4,ridge,0.1,0.6655499684971176,0.0035685847967817,4,1520,853,0.5611842105263158,0.6736895523672849,0.2406934729000694,0.5905737049411988,0.663113755655261,0.0265549099110346,0.7225781090226232
ridge_fixed::M_P_A_K,M_P_A_K,False,4.0,24,24,4,ridge_fixed,0.1,0.6655499684971176,0.003568584796781736,4,1520,853,0.5611842105263158,0.6736895523672849,0.2406934729000694,0.5905737049411988,0.663113755655261,0.0265549099110346,0.7225781090226232
ridge::D_M_P_A_K,D_M_P_A_K,False,5.0,28,28,8,ridge,1.0,0.6495159281278694,0.0097871143325513,35,1520,853,0.5611842105263158,0.7141489181873719,0.2541823756899695,0.5733727509047352,0.6068941235076782,0.1466053496428367,0.2865005935732153
ridge_fixed::D_M_P_A_K,D_M_P_A_K,False,5.0,28,28,8,ridge_fixed,0.1,0.6513590221378787,0.006996392666468858,35,1520,853,0.5611842105263158,0.6853612385684914,0.2452517646280074,0.5860557411798205,0.63362201309626,0.0849622409184875,0.498143875156728
ridge::B_M_P_A_K,B_M_P_A_K,False,5.0,25,25,5,ridge,0.1,0.6594980539768316,0.0023054033836397,5,1520,853,0.5611842105263158,0.6710814498493852,0.2390467472114641,0.6034034565366789,0.6549676616291584,0.0268294854338231,0.7124686590038674
ridge_fixed::B_M_P_A_K,B_M_P_A_K,False,5.0,25,25,5,ridge_fixed,0.1,0.6594980539768316,0.002305403383639794,5,1520,853,0.5611842105263158,0.6710814498493852,0.2390467472114641,0.6034034565366789,0.6549676616291584,0.0268294854338231,0.7124686590038674
ridge::D_B_M_P_A_K,D_B_M_P_A_K,False,6.0,29,29,9,ridge,1.0,0.6459037972933989,0.0077591567337515,36,1520,853,0.5611842105263158,0.707894194264699,0.250853600947622,0.5868730347604627,0.6139534640215153,0.1295362193542729,0.3367897779954097
ridge_fixed::D_B_M_P_A_K,D_B_M_P_A_K,False,6.0,29,29,9,ridge_fixed,0.1,0.6472260405165677,0.004995260793364732,36,1520,853,0.5611842105263158,0.6808472494133316,0.2427157575901022,0.5989285544800871,0.6346091167883079,0.0716864564014066,0.5377375227633852
ridge::C_A_K,C_A_K,False,3.0,13,13,3,ridge,0.1,0.6650986200699053,0.003430809648637,6,1520,853,0.5611842105263158,0.6710668213007681,0.2392506949103171,0.6013637378262803,0.6615153376403972,0.0033201072131739,0.7679408611210525
ridge_fixed::C_A_K,C_A_K,False,3.0,13,13,3,ridge_fixed,0.1,0.6650986200699053,0.003430809648637,6,1520,853,0.5611842105263158,0.6710668213007681,0.2392506949103171,0.6013637378262803,0.6615153376403972,0.0033201072131739,0.7679408611210525
ridge::D_C_A_K,D_C_A_K,False,4.0,17,17,7,ridge,1.0,0.6505666458810856,0.0089006565318504,37,1520,853,0.5611842105263158,0.7107381113389857,0.2521712303284336,0.5786781286964959,0.605288568088188,0.1306833454570085,0.3112255756429357
ridge_fixed::D_C_A_K,D_C_A_K,False,4.0,17,17,7,ridge_fixed,0.1,0.6519640297348516,0.006299512962471377,37,1520,853,0.5611842105263158,0.6827311006266209,0.2437019753633356,0.5912767531826115,0.6297397179721311,0.0648882273446064,0.528749593571791
ridge::B_C_A_K,B_C_A_K,False,4.0,14,14,4,ridge,0.1,0.6598656157651931,0.0033126759732993,7,1520,853,0.5611842105263158,0.6661703469907019,0.2364060390973057,0.618136711245784,0.656059251549659,-0.0093273862413624,0.7883553921414785
ridge_fixed::B_C_A_K,B_C_A_K,False,4.0,14,14,4,ridge_fixed,0.1,0.6598656157651931,0.0033126759732993133,7,1520,853,0.5611842105263158,0.6661703469907019,0.2364060390973057,0.618136711245784,0.656059251549659,-0.0093273862413624,0.7883553921414785
ridge::D_B_C_A_K,D_B_C_A_K,False,5.0,18,18,8,ridge,1.0,0.6476107633456963,0.0066676054617205,38,1520,853,0.5611842105263158,0.7029559093361989,0.2479637991700094,0.5948930575743782,0.6122475043531905,0.1074860884288666,0.3705644471551105
ridge_fixed::D_B_C_A_K,D_B_C_A_K,False,5.0,18,18,8,ridge_fixed,0.1,0.6485819902994704,0.004257677783961655,38,1520,853,0.5611842105263158,0.6761451523491497,0.2400812999645789,0.6079890886912933,0.633140115078239,0.0425006012784988,0.587451085963699
ridge::M_C_A_K,M_C_A_K,False,4.0,14,14,4,ridge,0.1,0.6654028352976818,0.0035246101634292,7,1520,853,0.5611842105263158,0.6719367901625388,0.2396649598837419,0.5982694467537627,0.6605533349613774,0.0089824206944904,0.7515437948161092
ridge_fixed::M_C_A_K,M_C_A_K,False,4.0,14,14,4,ridge_fixed,0.1,0.6654028352976818,0.0035246101634292437,7,1520,853,0.5611842105263158,0.6719367901625388,0.2396649598837419,0.5982694467537627,0.6605533349613774,0.0089824206944904,0.7515437948161092
ridge::D_M_C_A_K,D_M_C_A_K,False,5.0,18,18,8,ridge,1.0,0.6508878916517834,0.0089817658510972,38,1520,853,0.5611842105263158,0.7135060337975708,0.2533874088879104,0.574980094946665,0.6026842904368204,0.1370355185877409,0.2937223761598586
ridge_fixed::D_M_C_A_K,D_M_C_A_K,False,5.0,18,18,8,ridge_fixed,0.1,0.6520916763123504,0.006328294948520391,38,1520,853,0.5611842105263158,0.6840585738234571,0.2443150255125004,0.589199245629237,0.6282781657028977,0.0700976865041834,0.5147146333594572
ridge::B_M_C_A_K,B_M_C_A_K,False,5.0,15,15,5,ridge,0.1,0.6600076580529798,0.0033325490924823,8,1520,853,0.5611842105263158,0.6685092046744535,0.2375236201313402,0.6123998375958563,0.6524952708870997,0.003740552070358,0.7522353241402202
ridge_fixed::B_M_C_A_K,B_M_C_A_K,False,5.0,15,15,5,ridge_fixed,0.1,0.6600076580529798,0.003332549092482348,8,1520,853,0.5611842105263158,0.6685092046744535,0.2375236201313402,0.6123998375958563,0.6524952708870997,0.003740552070358,0.7522353241402202
ridge::D_B_M_C_A_K,D_B_M_C_A_K,False,6.0,19,19,9,ridge,1.0,0.6478442732880747,0.0068220870100259,39,1520,853,0.5611842105263158,0.7066702984463461,0.2496935528520046,0.5891491534420363,0.6086416146629674,0.1171387193977093,0.3459999232261356
ridge_fixed::D_B_M_C_A_K,D_B_M_C_A_K,False,6.0,19,19,9,ridge_fixed,0.1,0.6486809470736115,0.0043603637012629235,39,1520,853,0.5611842105263158,0.6790911476449201,0.2414280739862817,0.6028287145993241,0.629364763546866,0.0529375318643121,0.5585705581272684
ridge::P_C_A_K,P_C_A_K,False,4.0,24,24,4,ridge,0.1,0.6653550510612966,0.0031911946238526,7,1520,853,0.5611842105263158,0.6732299500327832,0.2403995269107418,0.5929447351353632,0.661084113743703,0.0208853349844016,0.7280867965311651
ridge_fixed::P_C_A_K,P_C_A_K,False,4.0,24,24,4,ridge_fixed,0.1,0.6653550510612966,0.003191194623852651,7,1520,853,0.5611842105263158,0.6732299500327832,0.2403995269107418,0.5929447351353632,0.661084113743703,0.0208853349844016,0.7280867965311651
ridge::D_P_C_A_K,D_P_C_A_K,False,5.0,28,28,8,ridge,1.0,0.6503102667612197,0.0094960062289255,38,1520,853,0.5611842105263158,0.7142305219917716,0.2540072046498714,0.5731354721232583,0.6057259488248192,0.1428801367970353,0.2887253822128802
ridge_fixed::D_P_C_A_K,D_P_C_A_K,False,5.0,28,28,8,ridge_fixed,0.1,0.6515576836543672,0.0067112311046633654,38,1520,853,0.5611842105263158,0.6855026806501163,0.2452269882922221,0.5859696177702474,0.6318595637351421,0.0816440718748246,0.4975174735276385
ridge::B_P_C_A_K,B_P_C_A_K,False,5.0,25,25,5,ridge,0.1,0.6594812478241739,0.0023369968235118,8,1520,853,0.5611842105263158,0.6691156150654222,0.238004067774273,0.6079943615531038,0.6544380738401957,0.0133067533290223,0.7408043850638049
ridge_fixed::B_P_C_A_K,B_P_C_A_K,False,5.0,25,25,5,ridge_fixed,0.1,0.6594812478241739,0.00233699682351184,8,1520,853,0.5611842105263158,0.6691156150654222,0.238004067774273,0.6079943615531038,0.6544380738401957,0.0133067533290223,0.7408043850638049
