subset,has_history,n_blocks,raw_items,additional_items,model_input_variables,algorithm,best_config,oof_log_loss,fold_se
P_A_K,False,3,23,23,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6601888050012099,0.002045023394652368
D_P_A_K,False,4,27,27,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6381238607240276,0.004405500354168014
B_P_A_K,False,4,24,24,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6547088081253956,0.002289879386620057
D_B_P_A_K,False,5,28,28,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6377652927085573,0.0037558481374631394
M_P_A_K,False,4,24,24,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6588393761698403,0.0019256609174021627
D_M_P_A_K,False,5,28,28,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6344975802563864,0.0047978769200457275
B_M_P_A_K,False,5,25,25,5,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6527486511061158,0.005260139624135732
D_B_M_P_A_K,False,6,29,29,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6354339109371958,0.003510736568332441
C_A_K,False,3,13,13,3,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6681951216630972,0.0024214927119988482
D_C_A_K,False,4,17,17,7,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6476239436495127,0.005069180697806916
B_C_A_K,False,4,14,14,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6607331593915815,0.002564174025360337
D_B_C_A_K,False,5,18,18,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6461760924564014,0.0013068354314070957
M_C_A_K,False,4,14,14,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6682244627606048,0.002531777777400434
D_M_C_A_K,False,5,18,18,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6453412278359647,0.004449727930685916
B_M_C_A_K,False,5,15,15,5,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6610694927540269,0.002621720499365241
D_B_M_C_A_K,False,6,19,19,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6448913231466763,0.0009971724803676135
P_C_A_K,False,4,24,24,4,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6606831093358085,0.0019715596860818037
D_P_C_A_K,False,5,28,28,8,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6351283038573683,0.004104371945197738
B_P_C_A_K,False,5,25,25,5,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.655070932781892,0.0021594446288818146
D_B_P_C_A_K,False,6,29,29,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.635951011491861,0.0027921737521010796
M_P_C_A_K,False,5,25,25,5,hgb,"{'max_leaf_nodes': 3, 'learning_rate': 0.05}",0.6592907747915923,0.0018174686576661935
D_M_P_C_A_K,False,6,29,29,9,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6317969039258379,0.0043833481682089654
B_M_P_C_A_K,False,6,26,26,6,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6539114224181793,0.004738838874423887
D_B_M_P_C_A_K,False,7,30,30,10,hgb,"{'max_leaf_nodes': 7, 'learning_rate': 0.05}",0.6343421651540304,0.0021625330667367666
