subset,has_history,n_blocks,raw_items,additional_items,model_input_variables,algorithm,best_config,oof_log_loss,fold_se
H_B_P_C_K,True,5,25,24,5,ridge,0.1,0.6461484778753469,0.0031411351810339315
H_D_B_P_C_K,True,6,29,28,9,ridge,1.0,0.6325759313191416,0.008455765316560308
H_M_P_C_K,True,5,25,24,5,ridge,0.1,0.6497879198322122,0.003302307940776694
H_D_M_P_C_K,True,6,29,28,9,ridge,1.0,0.6344081054789056,0.009825092483922286
H_B_M_P_C_K,True,6,26,25,6,ridge,0.1,0.645928330645112,0.0032049460769994335
H_D_B_M_P_C_K,True,7,30,29,10,ridge,1.0,0.6324018603891035,0.008445971904977164
H_A_K,True,3,13,12,3,ridge,0.1,0.6468855237332123,0.0031303635273172985
H_D_A_K,True,4,17,16,7,ridge,1.0,0.6316089221778484,0.009273926215445236
H_B_A_K,True,4,14,13,4,ridge,0.1,0.643912205363224,0.0032114883680173113
H_D_B_A_K,True,5,18,17,8,ridge,1.0,0.6303176464587247,0.007649088202244543
H_M_A_K,True,4,14,13,4,ridge,0.1,0.6468072202640086,0.0032377365081555686
H_D_M_A_K,True,5,18,17,8,ridge,1.0,0.6312734488152584,0.0094085911490808
H_B_M_A_K,True,5,15,14,5,ridge,0.1,0.6436333865037757,0.0033100199151031655
H_D_B_M_A_K,True,6,19,18,9,ridge,1.0,0.6297690531788611,0.00783930636649257
H_P_A_K,True,4,24,23,4,ridge,0.1,0.6469364767792163,0.0032008950831659494
H_D_P_A_K,True,5,28,27,8,ridge,1.0,0.6312895096248884,0.010066837288690941
H_B_P_A_K,True,5,25,24,5,ridge,0.1,0.643429881963482,0.0028048031822130374
H_D_B_P_A_K,True,6,29,28,9,ridge,1.0,0.6294674622760528,0.008592184690719587
H_M_P_A_K,True,5,25,24,5,ridge,0.1,0.6468966961386979,0.0033239902409738387
H_D_M_P_A_K,True,6,29,28,9,ridge,1.0,0.6312111678752893,0.010160585574344566
H_B_M_P_A_K,True,6,26,25,6,ridge,0.1,0.6432181679399898,0.002948541158549165
H_D_B_M_P_A_K,True,7,30,29,10,ridge,1.0,0.6292921291184919,0.00868741379274968
H_C_A_K,True,4,14,13,4,ridge,0.1,0.6474531971120571,0.0032335534597490107
H_D_C_A_K,True,5,18,17,8,ridge,1.0,0.6329925665767692,0.009332648729098234
H_B_C_A_K,True,5,15,14,5,ridge,0.1,0.644503843674367,0.0034248366813582694
H_D_B_C_A_K,True,6,19,18,9,ridge,1.0,0.6317384898901335,0.007687309317726805
H_M_C_A_K,True,5,15,14,5,ridge,0.1,0.6473691637561733,0.0033691580908782105
H_D_M_C_A_K,True,6,19,18,9,ridge,1.0,0.6326931392750783,0.009483920241239343
H_B_M_C_A_K,True,6,16,15,6,ridge,0.1,0.644223463114376,0.003575393509695267
H_D_B_M_C_A_K,True,7,20,19,10,ridge,1.0,0.6312491785290301,0.007906917175842002
H_P_C_A_K,True,5,25,24,5,ridge,0.1,0.6475160924368945,0.0032296107180436254
H_D_P_C_A_K,True,6,29,28,9,ridge,1.0,0.6327462080928837,0.010105626808768933
H_B_P_C_A_K,True,6,26,25,6,ridge,0.1,0.6440360888197865,0.0029589874400259425
H_D_B_P_C_A_K,True,7,30,29,10,ridge,1.0,0.630903105194864,0.008637912236111699
H_M_P_C_A_K,True,6,26,25,6,ridge,0.1,0.6474698579100036,0.0033778486468063985
H_D_M_P_C_A_K,True,7,30,29,10,ridge,1.0,0.6326357923202772,0.010193904993591588
H_B_M_P_C_A_K,True,7,27,26,7,ridge,0.1,0.643812892448034,0.0031460930326536614
H_D_B_M_P_C_A_K,True,8,31,30,11,ridge,1.0,0.6307238544876694,0.008738092038658708
NONE,False,0,0,0,0,ridge,0.001,0.6853643289188563,0.0
D,False,1,4,4,4,ridge,1.0,0.6621656516928427,0.008795211706229605
B,False,1,1,1,1,ridge,0.1,0.6777381954029948,0.0027598271537739396
D_B,False,2,5,5,5,ridge,1.0,0.6582120307239033,0.006572825362482106
M,False,1,1,1,1,ridge,0.01,0.6852087154572225,0.000524774368097944
D_M,False,2,5,5,5,ridge,1.0,0.6623492629583634,0.00860843188347897
B_M,False,2,2,2,2,ridge,0.1,0.6779583126099942,0.00282533019137459
D_B_M,False,3,6,6,6,ridge,1.0,0.6585610424617269,0.006427517548105395
P,False,1,11,11,1,ridge,0.001,0.6854781554910176,0.00013897049606344575
D_P,False,2,15,15,5,ridge,1.0,0.6622738696105736,0.009549427240357712
B_P,False,2,12,12,2,ridge,0.1,0.677878585011541,0.0026105620560542744
D_B_P,False,3,16,16,6,ridge,1.0,0.6577464526304969,0.007739194936247256
M_P,False,2,12,12,2,ridge,0.001,0.685357518858799,0.0001472558837395426
D_M_P,False,3,16,16,6,ridge,1.0,0.662451084744614,0.009397299583282021
B_M_P,False,3,13,13,3,ridge,0.1,0.6780361516193909,0.0026235749823047645
D_B_M_P,False,4,17,17,7,ridge,1.0,0.6580624718382053,0.007627553516949899
C,False,1,1,1,1,ridge,0.01,0.6850626975751691,0.00029215970465461483
D_C,False,2,5,5,5,ridge,1.0,0.663365546985366,0.008645042202223275
B_C,False,2,2,2,2,ridge,0.1,0.677672893894383,0.003027787519826623
D_B_C,False,3,6,6,6,ridge,1.0,0.6594541941664148,0.006345786990758626
M_C,False,2,2,2,2,ridge,0.01,0.6849257353845106,0.000462250883048363
D_M_C,False,3,6,6,6,ridge,1.0,0.6636254282527785,0.008505998257252885
B_M_C,False,3,3,3,3,ridge,0.1,0.6779412666628245,0.0030215024585190393
D_B_M_C,False,4,7,7,7,ridge,1.0,0.6597507037177004,0.006245788614216741
P_C,False,2,12,12,2,ridge,0.001,0.6853993925537009,0.0001269837380213714
D_P_C,False,3,16,16,6,ridge,1.0,0.6635901146249847,0.009398185681381125
B_P_C,False,3,13,13,3,ridge,0.1,0.6777986869657929,0.0027702769391950944
D_B_P_C,False,4,17,17,7,ridge,1.0,0.6590512991988687,0.007525917501722754
M_P_C,False,3,13,13,3,ridge,0.001,0.6852803698561314,0.00011159907698753985
D_M_P_C,False,4,17,17,7,ridge,1.0,0.6637450766040225,0.009280510161752822
B_M_P_C,False,4,14,14,4,ridge,0.1,0.6780210463346151,0.0026961742476479564
D_B_M_P_C,False,5,18,18,8,ridge,1.0,0.6594776813784442,0.007457683401615272
A,False,1,1,1,1,ridge,0.1,0.6808642563858034,0.0022787349419306708
D_A,False,2,5,5,5,ridge,1.0,0.6582581334178604,0.009040087007278753
B_A,False,2,2,2,2,ridge,0.1,0.6736656514353723,0.0034503886198507822
D_B_A,False,3,6,6,6,ridge,1.0,0.6545563941969289,0.006675367693977294
M_A,False,2,2,2,2,ridge,0.1,0.6806921645491553,0.0021660698197460606
D_M_A,False,3,6,6,6,ridge,1.0,0.6584548044655671,0.00882121855620062
B_M_A,False,3,3,3,3,ridge,0.1,0.6738281710598268,0.0034322711397663953
D_B_M_A,False,4,7,7,7,ridge,1.0,0.6548369451991856,0.006548460117766168
P_A,False,2,12,12,2,ridge,0.01,0.6814765010355697,0.0013947506979827885
D_P_A,False,3,16,16,6,ridge,1.0,0.6585833608658553,0.009520706286482158
B_P_A,False,3,13,13,3,ridge,0.1,0.6739738002404901,0.0029379596612578306
D_B_P_A,False,4,17,17,7,ridge,1.0,0.654363857240483,0.007429610107301454
M_P_A,False,3,13,13,3,ridge,0.01,0.6812157887804466,0.0012173367590811318
D_M_P_A,False,4,17,17,7,ridge,1.0,0.6587215109897597,0.009283754046668313
B_M_P_A,False,4,14,14,4,ridge,0.1,0.6740873608011265,0.002865630812231424
D_B_M_P_A,False,5,18,18,8,ridge,1.0,0.6546989810903293,0.00726737942349302
C_A,False,2,2,2,2,ridge,0.1,0.6805863410027915,0.0029477532207248898
D_C_A,False,3,6,6,6,ridge,1.0,0.6593856247495893,0.008997498975946556
B_C_A,False,3,3,3,3,ridge,0.1,0.6735209745197117,0.0041260509265748915
D_B_C_A,False,4,7,7,7,ridge,1.0,0.6556968128981201,0.006650344929778946
M_C_A,False,3,3,3,3,ridge,0.01,0.680463603268946,0.001780242769314117
D_M_C_A,False,4,7,7,7,ridge,1.0,0.6595823011493227,0.008845178958504323
B_M_C_A,False,4,4,4,4,ridge,0.1,0.6737350136132971,0.004069444057393727
D_B_M_C_A,False,5,8,8,8,ridge,1.0,0.656029039004183,0.0065888703780036875
P_C_A,False,3,13,13,3,ridge,0.01,0.6811223175840232,0.0016794203828153788
D_P_C_A,False,4,17,17,7,ridge,1.0,0.6597900266276292,0.009465744114962867
B_P_C_A,False,4,14,14,4,ridge,0.1,0.6738069592361944,0.003614420340704023
D_B_P_C_A,False,5,18,18,8,ridge,1.0,0.6554802333874106,0.007366062212764361
M_P_C_A,False,4,14,14,4,ridge,0.01,0.6808896704568617,0.0014887580560019016
D_M_P_C_A,False,5,18,18,8,ridge,1.0,0.6598969326148573,0.009286159558320373
B_M_P_C_A,False,5,15,15,5,ridge,0.1,0.6739940346313386,0.003501429722435349
D_B_M_P_C_A,False,6,19,19,9,ridge,1.0,0.6558527360731933,0.007278745766948814
K,False,1,11,11,1,ridge,1.0,0.669697766266247,0.004440793109870067
D_K,False,2,15,15,5,ridge,1.0,0.6534616584557627,0.009283991202217519
B_K,False,2,12,12,2,ridge,0.1,0.6639668470180919,0.0037260115855408523
D_B_K,False,3,16,16,6,ridge,1.0,0.6503288258178421,0.007111683307156618
M_K,False,2,12,12,2,ridge,0.1,0.6699785891643407,0.004373505845867496
D_M_K,False,3,16,16,6,ridge,1.0,0.6537353903769499,0.009201086575021118
B_M_K,False,3,13,13,3,ridge,0.1,0.664113310260305,0.0036423378259500144
D_B_M_K,False,4,17,17,7,ridge,1.0,0.6505264016533987,0.007087314462234379
P_K,False,2,22,22,2,ridge,0.1,0.6697886445882665,0.004611748075311295
D_P_K,False,3,26,26,6,ridge,1.0,0.6528869353216161,0.010227244173496476
B_P_K,False,3,23,23,3,ridge,0.1,0.6633194413068036,0.00362014652282673
D_B_P_K,False,4,27,27,7,ridge,1.0,0.6490564062408024,0.008376116663550533
M_P_K,False,3,23,23,3,ridge,0.1,0.670064278364502,0.004678455079744986
D_M_P_K,False,4,27,27,7,ridge,1.0,0.6533282313174947,0.010171345059222986
B_M_P_K,False,4,24,24,4,ridge,0.1,0.6634975815715906,0.003539798184494532
D_B_M_P_K,False,5,28,28,8,ridge,1.0,0.6493523079670165,0.008245036290914344
C_K,False,2,12,12,2,ridge,0.1,0.6698410834275197,0.003922592473030898
D_C_K,False,3,16,16,6,ridge,1.0,0.6546284367911368,0.008875166689569326
B_C_K,False,3,13,13,3,ridge,0.1,0.6641808102988377,0.0035342688704203024
D_B_C_K,False,4,17,17,7,ridge,1.0,0.6515473215012775,0.006718805731276992
M_C_K,False,3,13,13,3,ridge,0.1,0.6701320659093889,0.004014174173767177
D_M_C_K,False,4,17,17,7,ridge,1.0,0.6549361820142763,0.008873015508405089
B_M_C_K,False,4,14,14,4,ridge,0.1,0.6643298448689726,0.0034786668625194964
D_B_M_C_K,False,5,18,18,8,ridge,1.0,0.6517718728926184,0.006697036240974391
P_C_K,False,3,23,23,3,ridge,0.1,0.6699249544068876,0.004167747780673961
D_P_C_K,False,4,27,27,7,ridge,1.0,0.6541342196355429,0.009822360141484673
B_P_C_K,False,4,24,24,4,ridge,0.1,0.6635355041609993,0.0032724457468503365
D_B_P_C_K,False,5,28,28,8,ridge,1.0,0.650367563919362,0.007939289989663739
M_P_C_K,False,4,24,24,4,ridge,0.1,0.6702277065638427,0.004250511832949598
D_M_P_C_K,False,5,28,28,8,ridge,1.0,0.6545592683585901,0.009783240883582234
B_M_P_C_K,False,5,25,25,5,ridge,0.1,0.6637253348768435,0.0032221125454986515
D_B_M_P_C_K,False,6,29,29,9,ridge,1.0,0.6506684916270983,0.007879573032844213
A_K,False,2,12,12,2,ridge,0.1,0.6650247216444075,0.0035873661215053395
D_A_K,False,3,16,16,6,ridge,1.0,0.6495521869548352,0.009214165108142184
B_A_K,False,3,13,13,3,ridge,0.1,0.6596940001985669,0.0031236416278250232
