legacy_model,subset,C,encoded_features,delta_log_loss_vs_P0,n,events,event_rate,log_loss,brier,roc_auc,average_precision,calibration_intercept,calibration_slope
M3,H_D_B_M,1.0,34,0.03484689406634894,1520,853,0.5611842105263158,0.6954715126760604,0.24404097507403974,0.603372698176117,0.6086676647364443,0.0948874947168383,0.42039240909014897
M3,H_D_B_M,10.0,34,0.05204683452585742,1520,853,0.5611842105263158,0.712671453135569,0.24636886640729505,0.6013830716529192,0.6075693763046538,0.12613094725053403,0.3194950504046204
M4,H_D_B_M_P_C,0.001,39,0.007484999418419414,1520,853,0.5611842105263158,0.668109618028131,0.237608798594667,0.6435809059128115,0.6577025211344012,-0.6656619598138691,3.444205076999591
M4,H_D_B_M_P_C,0.01,39,-0.00617698035730831,1520,853,0.5611842105263158,0.6544476382524033,0.2309961999855695,0.6358596786014965,0.6515112790895042,-0.08553010373862724,1.1319688608483314
M4,H_D_B_M_P_C,0.1,39,0.007492121596539248,1520,853,0.5611842105263158,0.6681167402062508,0.23656510255251706,0.6161514787740948,0.6280270065308406,0.032326239837097544,0.6660925420253353
M4,H_D_B_M_P_C,1.0,39,0.03627347107058593,1520,853,0.5611842105263158,0.6968980896802975,0.24473299611806007,0.6022926403152469,0.6088307909500759,0.10352860839483827,0.40948493726186647
M4,H_D_B_M_P_C,10.0,39,0.05390907010436093,1520,853,0.5611842105263158,0.7145336887140725,0.24719938751187645,0.5997669395079717,0.6070440277551349,0.1336861761902255,0.3084583245040848
M5,H_D_B_M_P_C_A,0.001,40,0.009081526539251298,1520,853,0.5611842105263158,0.6697061451489629,0.2383384275999194,0.6173958741613953,0.6119264009517926,-0.4529286049921138,2.401487718030674
M5,H_D_B_M_P_C_A,0.01,40,0.002929640214475254,1520,853,0.5611842105263158,0.663554258824187,0.2345154745691402,0.6172253849628526,0.6150829347457673,-0.0626971734342823,0.8636751791684197
M5,H_D_B_M_P_C_A,0.1,40,0.02165637562622074,1520,853,0.5611842105263158,0.6822809942359324,0.24083697204683252,0.6053122325121144,0.6034296386697692,0.032653714801495606,0.5326321952057007
M5,H_D_B_M_P_C_A,1.0,40,0.05388888057743948,1520,853,0.5611842105263158,0.7145134991871509,0.24872877292434106,0.5947647512703202,0.5921152963163497,0.10257128561568427,0.329497159946565
M5,H_D_B_M_P_C_A,10.0,40,0.07220462369395417,1520,853,0.5611842105263158,0.7328292423036658,0.2509302927239158,0.5928208228828141,0.591487218297375,0.13221533188131393,0.25056153062212727
M6,H_D_B_M_P_C_A_K,0.001,41,0.00082372353388563,1520,853,0.5611842105263158,0.6614483421435972,0.23437332624597415,0.653113361256066,0.6782027316463008,-0.4982887227615012,2.7011004418014615
M6,H_D_B_M_P_C_A_K,0.01,41,-0.010276752288459633,1520,853,0.5611842105263158,0.650347866321252,0.22896701219367144,0.6465011925455796,0.6729333583803992,-0.05861045290339546,0.9609224175945499
