algorithm,has_history,domain,model,subset,collection_items,log_loss,full_model,benchmark,delta_loss_vs_full,upper95_vs_full_joint,delta_loss_vs_benchmark,upper95_vs_benchmark_joint,joint_family_contrasts,simultaneous_noninferior_full_margin_01,simultaneous_superior_benchmark,exploratory_dual_criterion_pass,status,model_variants_passing_same_subset,learner_families_passing_same_subset
hgb,False,extended_K,hgb::C_A_K,C_A_K,13,0.6708318170309527,hgb::D_B_M_P_C_A_K,prevalence,-0.0419734865464255,-0.017643429180765,-0.0148117328140638,0.0095183245515966,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::M_P_C,M_P_C,13,0.6853081326041691,hgb::D_B_M_P_C_A_K,prevalence,-0.0274971709732091,-0.0031671136075485,-0.0003354172408474,0.0239946401248131,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::B_P_A,B_P_A,13,0.6907115071388333,hgb::D_B_M_P_C_A_K,prevalence,-0.0220937964385449,0.0022362609271155,0.0050679572938166,0.0293980146594772,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::B_P_C,B_P_C,13,0.6926961941147286,hgb::D_B_M_P_C_A_K,prevalence,-0.0201091094626496,0.0042209479030108,0.007052644269712,0.0313827016353725,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::B_M_P,B_M_P,13,0.6964925971873642,hgb::D_B_M_P_C_A_K,prevalence,-0.016312706390014,0.0080173509756465,0.0108490473423476,0.0351791047080081,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::P_C_A,P_C_A,13,0.6966667721632623,hgb::D_B_M_P_C_A_K,prevalence,-0.0161385314141159,0.0081915259515445,0.0110232223182457,0.0353532796839062,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::M_P_A,M_P_A,13,0.7008301736525987,hgb::D_B_M_P_C_A_K,prevalence,-0.0119751299247794,0.012354927440881,0.0151866238075822,0.0395166811732427,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::B_M_C_K,B_M_C_K,14,0.6611351308330662,hgb::D_B_M_P_C_A_K,prevalence,-0.051670172744312,-0.0273401153786515,-0.0245084190119503,-0.0001783616462898,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
hgb,False,extended_K,hgb::B_C_A_K,B_C_A_K,14,0.6664096296781693,hgb::D_B_M_P_C_A_K,prevalence,-0.0463956738992089,-0.0220656165335484,-0.0192339201668472,0.0050961371988133,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,1,1
hgb,False,extended_K,hgb::B_M_A_K,B_M_A_K,14,0.6679709653628266,hgb::D_B_M_P_C_A_K,prevalence,-0.0448343382145516,-0.0205042808488911,-0.0176725844821899,0.0066574728834706,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
