replicate,dev_boot_n,eval_boot_n,P0,ridge::H_D_B_A,ridge::H_D_B_M_P_C_A_K,ridge::H_D,ridge::H_D_B_M_P_C_A,ridge::D_A_K,ridge::D_B_M_P_C_A_K,ridge::D_B,ridge::D_B_M_P_C_A,hgb::H_D_M_P_A,hgb::H_D_B_M_P_C_A_K,hgb::D_M_P_A_K,hgb::D_B_M_P_C_A_K
48,1598,1503,0.6638119045487016,0.7495426442381501,0.7424867632910079,0.7196863771450507,0.7593885559466631,0.7414111460510137,0.7473067471887813,0.7196191903443316,0.7640763853519278,0.726867457238565,0.6958156809060319,0.7195354652321527,0.7358404182875764
49,1583,1504,0.6606974199510722,0.712618396441961,0.702654551528113,0.7099861017292768,0.7188313608886673,0.70577918696355,0.7124433777569892,0.7131501960431308,0.7275447338415199,0.6930032640715655,0.6603751700275122,0.7043278138867463,0.6978182338166956
50,1584,1517,0.6651687986410044,0.7286820043427258,0.7256545932098484,0.7229479577266567,0.7416162969654981,0.7295636052621797,0.7352887683853716,0.730782838867699,0.74926887976276,0.727538792874458,0.6942193272857216,0.7403288608261634,0.726026408601602
51,1539,1562,0.658057883612991,0.7132988973248194,0.6983342080170768,0.6777541982191414,0.7082211772862457,0.7224073923855695,0.7093600048118283,0.6812723635879169,0.7191577140161921,0.673582772723614,0.6545656397272649,0.6822160770447276,0.6749264109682553
52,1568,1480,0.6664996692651448,0.7012242925182689,0.6864131043533763,0.7047601260802865,0.7021076480818761,0.7024569883226212,0.6994976722859655,0.7086289583564536,0.712397176988051,0.7039362643998424,0.6815277346274454,0.7235743643692638,0.712507612742085
53,1586,1471,0.6685052352858125,0.6784270129368434,0.677280103398646,0.6841789224387227,0.6822529226280178,0.6878113034581196,0.6823370347749961,0.6818551952454609,0.6851074133862624,0.6903396189608051,0.6700912742310847,0.7067042685400262,0.6881702504575318
54,1592,1509,0.6598392995388107,0.7102805119287832,0.712738711877077,0.7103397770273029,0.7227579798460982,0.7229454073986931,0.7279315722525106,0.7202803688223085,0.7374437540088602,0.7080215794420173,0.6901602259934448,0.7303206483799384,0.7241220462259726
55,1598,1500,0.6653633909687743,0.752907823498711,0.7443163594228902,0.7380591006813577,0.763744245583992,0.7521595837415908,0.7534529522554091,0.7346969870667017,0.7709334391108096,0.7424320213916188,0.704576589422744,0.7445326185605915,0.7384731965618084
56,1574,1533,0.6545443775232653,0.6961006849521117,0.6863278224703835,0.6907334114402903,0.7006695123494405,0.7018314841222848,0.6988755506684154,0.694157279222224,0.7121773234180844,0.6989891500837595,0.6841898849862775,0.711165633657595,0.6988647499638478
57,1579,1499,0.6555314421073306,0.7278036883088103,0.733648048926187,0.7211938964803347,0.7425446804815116,0.7322415598400225,0.7401698978362823,0.7232060384544458,0.7480809037238695,0.7058412880256206,0.6842638833858703,0.7410869022005483,0.7448773840782471
58,1591,1539,0.6573453698170729,0.6997452840517718,0.706304127324448,0.6911386004815555,0.7188099537285726,0.71051253896718,0.7238854020060974,0.7095531919740122,0.7362763261619658,0.6799296650445781,0.676058422269975,0.7359361722543377,0.7195704494935335
59,1562,1544,0.6612776289371278,0.7120329043110172,0.7045187407052195,0.7017006342842691,0.7232152737189766,0.7129177910388413,0.716553520712377,0.7125921806874208,0.7329446461243476,0.7093066304646612,0.6864672033989434,0.731357986071236,0.7227861126491287
60,1573,1505,0.6621560246996278,0.7165469108437027,0.7042622139448697,0.7124129670468201,0.7194149027626787,0.714904719192953,0.7114377253269365,0.7123604230687826,0.724353232849892,0.695573572828508,0.6826286807092066,0.7260402833726624,0.7141010262173055
61,1570,1509,0.6628671936267418,0.708269627485824,0.6882599748671044,0.6977866309703017,0.7051497319952172,0.699276891759237,0.6944363524016401,0.7060296769220893,0.7109391196512457,0.6994601262187963,0.6903276690345523,0.7055446529314785,0.7115157725212993
62,1557,1521,0.6541894380916378,0.7003373520754893,0.7055916864198034,0.6968416051874217,0.7158924663730448,0.6973786826527001,0.7069730749667408,0.6962276027776202,0.7159021942397179,0.6993625799727183,0.6833346925382905,0.7124550604794904,0.7096447805805133
63,1582,1508,0.665790739647331,0.7068875545575352,0.700715277038205,0.7024933176690458,0.7200906897844364,0.7048043554145255,0.7081604104371624,0.6991727693404359,0.7262143950247621,0.7389371975498306,0.6931783753716632,0.7277480844877993,0.7213928004145528
64,1584,1537,0.6658730660290024,0.7336349209301013,0.7315556590021965,0.7091491926979484,0.7408988462841214,0.7384347284777147,0.736216954566796,0.7046987006043182,0.7438731724230734,0.7274478879078207,0.7022963542887004,0.7433757915717677,0.7377776700935432
