threshold,model,net_benefit,scope
0.3500000000000001,hgb::H_D_B_M_P_C_A,0.3333502024291497,hypothetical classification utility; not intervention effectiveness
0.3500000000000001,hgb::H_D_B_M_P_C_A_K,0.3253036437246963,hypothetical classification utility; not intervention effectiveness
0.3500000000000001,hgb::H_D_M_P,0.3275303643724695,hypothetical classification utility; not intervention effectiveness
0.3500000000000001,hgb::H_D_M_P_A,0.33016194331983795,hypothetical classification utility; not intervention effectiveness
0.3500000000000001,prevalence,0.32489878542510114,hypothetical classification utility; not intervention effectiveness
0.3500000000000001,ridge::D_A_K,0.32338056680161936,hypothetical classification utility; not intervention effectiveness
0.3500000000000001,ridge::D_B,0.32505060728744933,hypothetical classification utility; not intervention effectiveness
0.3500000000000001,ridge::D_B_M_P_C_A,0.32191295546558696,hypothetical classification utility; not intervention effectiveness
0.3500000000000001,ridge::D_B_M_P_C_A_K,0.31923076923076915,hypothetical classification utility; not intervention effectiveness
0.3500000000000001,ridge::H_D,0.3322874493927125,hypothetical classification utility; not intervention effectiveness
0.3500000000000001,ridge::H_D_B_A,0.3326923076923076,hypothetical classification utility; not intervention effectiveness
0.3500000000000001,ridge::H_D_B_M_P_C_A,0.3324392712550607,hypothetical classification utility; not intervention effectiveness
0.3500000000000001,ridge::H_D_B_M_P_C_A_K,0.32661943319838055,hypothetical classification utility; not intervention effectiveness
0.3500000000000001,act_none,0.0,
0.3500000000000001,act_all,0.3248987854251012,
0.40000000000000013,P0,0.26864035087719285,hypothetical classification utility; not intervention effectiveness
0.40000000000000013,hgb::D_B_M_P_C_A,0.2594298245614034,hypothetical classification utility; not intervention effectiveness
0.40000000000000013,hgb::D_B_M_P_C_A_K,0.2489035087719297,hypothetical classification utility; not intervention effectiveness
0.40000000000000013,hgb::D_M_P_A,0.2546052631578946,hypothetical classification utility; not intervention effectiveness
0.40000000000000013,hgb::D_M_P_A_K,0.2335526315789472,hypothetical classification utility; not intervention effectiveness
0.40000000000000013,hgb::H_D_B_M_P_C_A,0.2837719298245613,hypothetical classification utility; not intervention effectiveness
0.40000000000000013,hgb::H_D_B_M_P_C_A_K,0.28245614035087707,hypothetical classification utility; not intervention effectiveness
0.40000000000000013,hgb::H_D_M_P,0.2660087719298244,hypothetical classification utility; not intervention effectiveness
0.40000000000000013,hgb::H_D_M_P_A,0.2675438596491227,hypothetical classification utility; not intervention effectiveness
0.40000000000000013,prevalence,0.26864035087719285,hypothetical classification utility; not intervention effectiveness
0.40000000000000013,ridge::D_A_K,0.26513157894736833,hypothetical classification utility; not intervention effectiveness
0.40000000000000013,ridge::D_B,0.26798245614035077,hypothetical classification utility; not intervention effectiveness
0.40000000000000013,ridge::D_B_M_P_C_A,0.2739035087719297,hypothetical classification utility; not intervention effectiveness
0.40000000000000013,ridge::D_B_M_P_C_A_K,0.2706140350877192,hypothetical classification utility; not intervention effectiveness
0.40000000000000013,ridge::H_D,0.269298245614035,hypothetical classification utility; not intervention effectiveness
0.40000000000000013,ridge::H_D_B_A,0.29057017543859637,hypothetical classification utility; not intervention effectiveness
0.40000000000000013,ridge::H_D_B_M_P_C_A,0.2835526315789473,hypothetical classification utility; not intervention effectiveness
0.40000000000000013,ridge::H_D_B_M_P_C_A_K,0.28157894736842093,hypothetical classification utility; not intervention effectiveness
0.40000000000000013,act_none,0.0,
0.40000000000000013,act_all,0.2686403508771929,
0.45000000000000007,P0,0.2315191387559808,hypothetical classification utility; not intervention effectiveness
0.45000000000000007,hgb::D_B_M_P_C_A,0.2091507177033492,hypothetical classification utility; not intervention effectiveness
0.45000000000000007,hgb::D_B_M_P_C_A_K,0.19778708133971284,hypothetical classification utility; not intervention effectiveness
0.45000000000000007,hgb::D_M_P_A,0.19312200956937792,hypothetical classification utility; not intervention effectiveness
0.45000000000000007,hgb::D_M_P_A_K,0.18032296650717694,hypothetical classification utility; not intervention effectiveness
0.45000000000000007,hgb::H_D_B_M_P_C_A,0.23038277511961716,hypothetical classification utility; not intervention effectiveness
0.45000000000000007,hgb::H_D_B_M_P_C_A_K,0.2258971291866028,hypothetical classification utility; not intervention effectiveness
0.45000000000000007,hgb::H_D_M_P,0.22380382775119614,hypothetical classification utility; not intervention effectiveness
0.45000000000000007,hgb::H_D_M_P_A,0.22805023923444967,hypothetical classification utility; not intervention effectiveness
0.45000000000000007,prevalence,0.2021531100478468,hypothetical classification utility; not intervention effectiveness
0.45000000000000007,ridge::D_A_K,0.2015550239234449,hypothetical classification utility; not intervention effectiveness
0.45000000000000007,ridge::D_B,0.21004784688995207,hypothetical classification utility; not intervention effectiveness
0.45000000000000007,ridge::D_B_M_P_C_A,0.211901913875598,hypothetical classification utility; not intervention effectiveness
0.45000000000000007,ridge::D_B_M_P_C_A_K,0.20825358851674636,hypothetical classification utility; not intervention effectiveness
0.45000000000000007,ridge::H_D,0.22739234449760756,hypothetical classification utility; not intervention effectiveness
0.45000000000000007,ridge::H_D_B_A,0.24264354066985638,hypothetical classification utility; not intervention effectiveness
0.45000000000000007,ridge::H_D_B_M_P_C_A,0.23654306220095686,hypothetical classification utility; not intervention effectiveness
0.45000000000000007,ridge::H_D_B_M_P_C_A_K,0.2405502392344497,hypothetical classification utility; not intervention effectiveness
0.45000000000000007,act_none,0.0,
0.45000000000000007,act_all,0.20215311004784692,
0.5000000000000001,P0,0.18749999999999992,hypothetical classification utility; not intervention effectiveness
