algorithm,subset,config,oof_log_loss,fold_mean,fold_se,fold_losses
ridge,H_B_M_P,0.1,0.657963803376312,0.6579638033763121,0.00410185119959144,"[0.6494481725117989, 0.6703277353384386, 0.6626649875990986, 0.6485669078499529, 0.6588112135822713]"
ridge,H_B_M_P,1.0,0.6579705506024702,0.6579705506024702,0.004234876654879277,"[0.6491060997050749, 0.6706719095534287, 0.6628906043201965, 0.6482896420459289, 0.6588944973877218]"
ridge,H_B_M_P,10.0,0.6579736640459329,0.6579736640459329,0.004248677025737815,"[0.6490728457361811, 0.670709821737915, 0.6629166119310843, 0.6482633855439675, 0.6589056552805171]"
ridge,H_D_B_M_P,0.001,0.6699307648412035,0.6699307648412034,0.0005849129664929286,"[0.6692618660780117, 0.6716662794007103, 0.6709176180543852, 0.6685162285346785, 0.6692918321382315]"
ridge,H_D_B_M_P,0.01,0.6483936208594778,0.6483936208594778,0.00198316990172301,"[0.6451686753553024, 0.6493318459621329, 0.6553845406615985, 0.6441126598819131, 0.6479703824364421]"
ridge,H_D_B_M_P,0.1,0.6401725690886176,0.6401725690886176,0.005036231097414445,"[0.6378972411843785, 0.6288730637995419, 0.6583609948503972, 0.6338065187721792, 0.6419250268365911]"
ridge,H_D_B_M_P,1.0,0.6375985212431627,0.6375985212431627,0.00801887799248839,"[0.6383936659920082, 0.6142449287418899, 0.6636761886897342, 0.6306529517838604, 0.6410248710083211]"
ridge,H_D_B_M_P,10.0,0.638720735326994,0.638720735326994,0.009630284349130495,"[0.639190893720421, 0.6112645171817696, 0.6708177678408418, 0.6308032506399788, 0.6415272472519589]"
ridge,H_C,0.001,0.6755908463721599,0.6755908463721599,0.0005683007166432662,"[0.6741333717513108, 0.6768516372245288, 0.6764454671457906, 0.6743135448508581, 0.6762102108883117]"
ridge,H_C,0.01,0.663443146978185,0.6634431469781849,0.002173651441129985,"[0.6574935146434348, 0.6679021958820814, 0.6665258452343115, 0.6588759142608369, 0.6664182648702598]"
ridge,H_C,0.1,0.6624391851158958,0.6624391851158958,0.003062064294856948,"[0.6537216747912163, 0.668453181559688, 0.666448311675258, 0.6563810014804914, 0.6671917560728255]"
ridge,H_C,1.0,0.6626583578000025,0.6626583578000026,0.0032570978222185424,"[0.6533751731741142, 0.6689003618022414, 0.6673893163277412, 0.6561910160720797, 0.6674359216238362]"
ridge,H_C,10.0,0.6629163932888188,0.6629163932888188,0.0033698921870029125,"[0.65335302119502, 0.6692887842283914, 0.6683933164964939, 0.6561855531874544, 0.6673612913367344]"
ridge,H_D_C,0.001,0.6724418455429128,0.6724418455429129,0.0003124989803696462,"[0.671831373907988, 0.6722920133714426, 0.6735802606053309, 0.6719441525527107, 0.6725614272770919]"
ridge,H_D_C,0.01,0.652029959016182,0.652029959016182,0.0018274079452272407,"[0.6498642610008207, 0.6476445720045819, 0.6580316035753763, 0.6504749457993101, 0.6541344127008208]"
ridge,H_D_C,0.1,0.643684258565303,0.6436842585653029,0.005271593017127144,"[0.6439940732145203, 0.6259156819445599, 0.6576926529560384, 0.6410627236569139, 0.6497561610544819]"
ridge,H_D_C,1.0,0.6411795164486124,0.6411795164486124,0.008514849404577477,"[0.6448909302845208, 0.6110433495209722, 0.6625783987214459, 0.6383283020358632, 0.6490566016802602]"
ridge,H_D_C,10.0,0.642528174015737,0.642528174015737,0.01012752490051344,"[0.6455638656844437, 0.6081514174820423, 0.6705700713413224, 0.6383224977706817, 0.6500330178001952]"
ridge,H_B_C,0.001,0.6728990570803165,0.6728990570803166,0.0009580557215223768,"[0.671099176839093, 0.6762308799658345, 0.6730757892296018, 0.6709209350822956, 0.6731685042847584]"
ridge,H_B_C,0.01,0.6591576223738252,0.6591576223738251,0.003258578299507561,"[0.6524654980060556, 0.669766172189225, 0.6600553501161975, 0.6521328167713416, 0.6613682747863061]"
ridge,H_B_C,0.1,0.6581911682912668,0.6581911682912669,0.0043536933549433825,"[0.6487878658648382, 0.6718776493194264, 0.6593691790331617, 0.6488631857542067, 0.6620579614847015]"
ridge,H_B_C,1.0,0.6584218179386802,0.6584218179386803,0.004543994687257386,"[0.6484724694584588, 0.6725544236343627, 0.660209280823159, 0.6486093830170451, 0.6622635327603754]"
ridge,H_B_C,10.0,0.6586882700634346,0.6586882700634344,0.004650453827035151,"[0.6484544093529181, 0.6731107222320744, 0.6611398574451788, 0.6485954737937352, 0.6621408874932662]"
ridge,H_D_B_C,0.001,0.6698683824468773,0.6698683824468773,0.0005600775989002973,"[0.6688937662893816, 0.6717703893359598, 0.6703451482243951, 0.6686697671254372, 0.6696628412592128]"
ridge,H_D_B_C,0.01,0.6486470131787522,0.6486470131787522,0.0015640041848197206,"[0.6453277881610585, 0.6503108491138293, 0.6528380490923569, 0.6446999134980272, 0.6500584660284894]"
ridge,H_D_B_C,0.1,0.6414085258022352,0.6414085258022351,0.004012518847980983,"[0.6395952825346065, 0.6312646700904012, 0.6541551653304892, 0.6358643874182746, 0.6461631236374039]"
ridge,H_D_B_C,1.0,0.6393410724180268,0.6393410724180268,0.00703523092802638,"[0.6404791067109094, 0.617154488388731, 0.6599772013709702, 0.6336136925113602, 0.6454808731081635]"
ridge,H_D_B_C,10.0,0.6410215944591118,0.6410215944591118,0.008801303378442841,"[0.6414285817461159, 0.6144686523439716, 0.668770374909481, 0.6341888008734302, 0.6462515624225602]"
ridge,H_M_C,0.001,0.6755481602484981,0.675548160248498,0.0005059397976434056,"[0.6745666392711362, 0.6767973071220963, 0.6762269993175813, 0.6741564970964448, 0.6759933584352315]"
ridge,H_M_C,0.01,0.6635524488430093,0.6635524488430093,0.0019959581854190715,"[0.6586737257570403, 0.6678723149303584, 0.6662812664219351, 0.6587652401862144, 0.6661696969194985]"
